"GeneID","Chr","Start","End","Strand","Length"
"ENSSSCG00000005056","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","184501182;184501219;184503259;184507071;184508418;184511290;184513518;184517666;184524174;184525601;184525601;184526742;184528108;184528158;184528608;184528608;184529864;184529864;184532800;184534719;184534720;184534932;184534932;184537224;184539594;184539594;184547840;184547840;184549868;184549868","184501200;184501322;184503308;184507311;184508478;184511476;184513737;184517758;184524334;184525686;184525724;184526776;184528234;184528234;184528732;184528732;184530150;184530150;184532870;184534838;184534838;184535016;184535016;184537286;184539787;184539787;184548078;184548078;184549965;184549993","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",2732
"ENSSSCG00000005057","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","184599599;184599616;184599638;184599651;184599669;184601178;184618845;184618845;184666920;184667014;184686730;184686730;184686730;184686730;184686730","184599765;184599765;184599765;184599765;184599765;184601212;184618909;184618909;184667057;184667057;184689938;184689936;184689938;184689934;184689694","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",3614
"ENSSSCG00000040895","1;1","108414815;108415091","108415047;108415163","-;-",306
"ENSSSCG00000059505","1;1;1;1","108560112;108560289;108560909;108561053","108560184;108560869;108561022;108561244","-;-;-;-",960
"ENSSSCG00000005058","1;1;1;1;1;1;1;1;1;1;1","184686142;184703227;184711029;184711193;184715052;184717249;184720489;184724782;184727741;184729797;184743479","184689271;184703932;184711114;184711283;184715169;184717478;184720726;184724863;184727783;184729859;184743706","-;-;-;-;-;-;-;-;-;-;-",5015
"ENSSSCG00000032949","1;1;1;1;1;1;1;1;1;1;1","108730298;108730298;108740447;108740447;108755794;108756681;108756681;108761592;108761592;108763013;108763013","108733729;108733729;108740574;108740574;108755916;108756751;108756751;108761762;108761762;108763401;108763401","-;-;-;-;-;-;-;-;-;-;-",4314
"ENSSSCG00000005059","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","184745799;184745799;184753264;184753264;184763659;184763659;184765191;184765191;184768287;184768287;184768952;184768952;184771927;184791431;184792330","184745959;184745959;184753358;184753358;184763826;184763826;184765282;184765282;184768374;184768374;184769307;184769409;184772088;184791550;184792502","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",1517
"ENSSSCG00000004565","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","108649271;108649271;108649271;108656708;108656708;108656708;108687861;108687861;108688959;108688959;108688959;108692917;108692917;108692917;108693826;108693826;108693826;108694119;108694119;108694119;108695787;108695787;108695787;108705541;108706456;108706456;108706456;108707547;108707547;108707547;108708983;108708983;108708983","108649497;108649497;108649497;108656728;108656728;108656728;108688040;108688040;108689101;108689101;108689101;108693012;108693012;108693012;108693889;108693889;108693889;108694276;108694276;108694276;108695913;108695913;108695913;108705573;108706543;108706543;108706543;108708743;108708743;108708743;108710651;108710651;108710651","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",4003
"ENSSSCG00000005060","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","184881550;184881790;184881802;184881808;184881808;184881837;184881843;184881868;184893636;184914188;184914188;184914188;184914188;184914188;184914188;184914188;184914188;184917908;184917908;184917908;184917908;184917908;184917908;184917908;184920695;184920695;184920695;184920695;184920695;184920695;184920695;184920695;184923503;184923503;184923503;184923503;184923503;184923503;184923503;184923503;184929863;184929863;184929863;184929863;184929863;184929863;184929863;184929863;184933089;184933089;184933089;184933089;184933089;184933089;184933089;184933089;184934610;184934610;184934610;184934610;184934610;184934610;184934610;184934610;184935510;184935510;184935510;184935510;184935510;184935510;184935510;184935510;184936988;184936988;184936988;184936988;184936988;184936988;184936988;184936988;184940161;184940161;184940161;184940161;184940161;184940161;184940161;184940161;184940738;184940738;184940738;184940738;184940738;184940738;184940738;184940738;184942658;184942658;184942658;184942658;184942658;184942658;184942658;184942658;184943423;184943423;184943423;184943423;184943423;184943423;184943423;184943423;184944140;184944140;184944140;184944140;184944140;184944140;184944140;184944140;184944697;184944697;184944697;184944697;184944697;184944697;184944697;184944697;184945217;184945217;184945217;184945217;184945217;184945217;184945217;184945217;184946147;184946147;184946147;184946147;184946147;184946147;184946147;184946147;184948840;184951582;184951582;184951582;184951582;184951582;184951582;184951582;184951582;184951582;184952022;184952022;184952022;184952022;184952022;184952022;184952022;184952022;184952022;184952806;184952806;184952806;184952806;184952806;184952806;184952806;184952806;184952806;184953790;184953790;184953790;184953790;184953790;184953790;184953790;184953790;184954493;184954519;184954519;184954519;184954519;184954519;184954519;184954519;184954519;184954760;184954760;184954760;184954760;184954760;184954760;184954760;184955931;184955931;184955931;184955931;184955931;184955931;184955931;184955931;184956863;184956863;184956863;184956863;184956863;184956863;184956863;184956863;184956863;184957030;184957030;184957030;184957030;184957030;184957030;184957030;184957030;184957030;184957105;184957105;184957105;184957105;184958154;184958154;184958154;184958154;184958154;184960028;184960028;184960028;184960028;184960028;184960028;184960028;184960028;184960028;184962223;184962223;184962223;184962223;184962223;184962223;184962223;184962223;184962223;184963371;184963371;184963371;184963371;184963371;184963371;184963371;184963371;184963371;184965644;184965644;184965644;184965644;184965644;184965644;184965644;184965644;184965644;184967775;184967775;184967775;184967775;184967775;184967775;184971033;184971033;184971033;184971033;184971033;184971033;184971033;184975528;184975528;184975528;184975528;184975528;184975528;184975528;184975528;184975528;184976541;184976541;184976541;184976541;184976541;184976541;184976541;184976541;184976541;184976741;184976741;184976741;184976741;184976741;184976741;184976741;184976741;184976741;184977995;184977995;184977995;184977995;184977995;184977995;184977995;184977995;184977995;184978313;184978313;184978313;184978313;184978313;184978313;184978313;184978313;184978313;184978560;184978560;184978560;184981615;184981615;184981615;184981615;184981615;184981615;184981615;184981615;184981615;184983340;184983340;184983340;184983340;184983340;184983340;184983340;184983340;184983340;184984574;184984574;184984574;184984574;184984574;184984574;184984574;184984574;184984574;184990450;184990450;184990450;184990450;184990450;185006640;185150893","184881942;184881942;184881942;184881942;184881942;184881942;184881942;184881942;184893728;184914740;184914740;184914740;184914740;184914740;184914740;184914740;184914740;184918045;184918045;184918045;184918045;184918045;184918045;184918045;184920865;184920865;184920865;184920865;184920865;184920865;184920865;184920865;184923633;184923633;184923633;184923633;184923633;184923633;184923633;184923633;184929979;184929979;184929979;184929979;184929979;184929979;184929979;184929979;184933229;184933229;184933229;184933229;184933229;184933229;184933229;184933229;184934716;184934716;184934716;184934716;184934716;184934716;184934716;184934716;184935642;184935642;184935642;184935642;184935642;184935642;184935642;184935642;184937075;184937075;184937075;184937075;184937075;184937075;184937075;184937075;184940327;184940327;184940327;184940327;184940327;184940327;184940327;184940327;184940806;184940806;184940806;184940806;184940806;184940806;184940806;184940806;184942695;184942695;184942695;184942695;184942695;184942695;184942695;184942695;184943513;184943513;184943513;184943513;184943513;184943513;184943513;184943513;184944208;184944208;184944208;184944208;184944208;184944208;184944208;184944208;184944734;184944734;184944734;184944734;184944734;184944734;184944734;184944734;184945298;184945298;184945298;184945298;184945298;184945298;184945298;184945298;184946215;184946215;184946215;184946215;184946215;184946215;184946215;184946215;184948893;184951616;184951616;184951616;184951616;184951616;184951616;184951616;184951616;184951616;184952112;184952112;184952112;184952112;184952112;184952112;184952112;184952112;184952112;184952874;184952874;184952874;184952874;184952874;184952874;184952874;184952874;184952874;184953827;184953827;184953827;184953827;184953827;184953827;184953827;184953827;184954635;184954609;184954609;184954609;184954609;184954609;184954609;184954609;184954609;184954828;184954828;184954828;184954828;184954828;184954828;184954828;184955968;184955968;184955968;184955968;184955968;184955968;184955968;184955968;184956953;184956953;184956953;184956953;184956953;184956953;184956953;184956953;184956953;184957098;184957098;184957098;184957098;184957074;184957074;184957074;184957074;184957098;184957160;184957160;184957160;184957160;184958191;184958191;184958191;184958191;184958191;184960118;184960118;184960118;184960118;184960118;184960118;184960118;184960118;184960118;184962291;184962291;184962291;184962291;184962291;184962291;184962291;184962291;184962291;184963408;184963408;184963408;184963408;184963408;184963408;184963408;184963408;184963408;184965734;184965734;184965734;184965734;184965734;184965734;184965734;184965734;184965734;184967861;184967861;184967861;184967861;184967861;184967861;184971122;184971122;184971122;184971122;184971122;184971122;184971122;184975608;184975608;184975608;184975608;184975608;184975608;184975608;184975608;184975608;184976630;184976630;184976630;184976630;184976630;184976630;184976630;184976630;184976630;184976833;184976833;184976833;184976833;184976833;184976833;184976833;184976833;184976833;184978066;184978066;184978066;184978066;184978066;184978066;184978066;184978066;184978066;184978396;184978396;184978396;184978396;184978396;184978396;184978396;184978396;184978396;184978643;184978643;184978643;184981698;184981698;184981698;184981698;184981698;184981698;184981698;184981698;184981698;184983432;184983432;184983432;184983432;184983432;184983432;184983432;184983432;184983432;184984694;184984694;184984694;184984694;184984708;184984708;184984708;184984708;184984694;184990523;184992127;184990930;184990930;184990930;185006732;185152975","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",8615
"ENSSSCG00000043097","1;1","133156258;133159209","133158216;133159250","-;-",2001
"ENSSSCG00000004794","1;1;1;1;1;1;1;1;1;1;1;1","133285037;133289871;133291944;133293539;133294036;133294543;133298150;133298933;133299429;133299968;133301391;133302014","133286236;133289911;133292001;133293603;133294095;133294599;133298221;133298983;133299552;133300117;133301435;133302309","-;-;-;-;-;-;-;-;-;-;-;-",2219
"ENSSSCG00000026571","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","108772851;108776036;108777949;108779006;108779965;108779965;108781124;108781124;108782322;108782322;108782378;108783675;108783692;108783692;108783692;108789667;108789667;108789667;108789667;108793087;108793087;108793087;108793087;108840000;108840000;108840000;108840000","108777129;108777129;108777999;108779077;108780235;108780254;108781189;108781189;108782411;108782411;108782411;108783769;108783769;108783769;108783769;108789727;108789727;108789727;108789727;108793147;108793147;108793147;108793147;108840142;108840227;108840227;108840227","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",5293
"ENSSSCG00000004744","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","129811544;129815595;129815917;129816257;129816787;129817580;129818093;129818501;129818900;129819083;129819709;129820412;129821213;129823053;129823926;129825440;129826388;129826729;129828658","129813027;129815731;129816076;129816366;129816908;129817672;129818173;129818596;129819000;129819212;129819853;129820557;129821390;129823168;129824012;129825610;129826488;129826912;129829014","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",3999
"ENSSSCG00000035584","1;1;1;1;1;1;1;1;1;1","139857095;139862596;139862968;139868125;139900211;140044694;140046793;140395976;140458922;140464328","139857882;139862655;139863164;139868277;139900348;140044776;140047013;140396043;140459070;140464579","-;-;-;-;-;-;-;-;-;-",2109
"ENSSSCG00000040204","1;1","123574703;123582746","123576343;123582998","-;-",1894
"ENSSSCG00000023158","1;1;1;1","108881552;108882541;108883927;108886134","108881657;108882649;108884037;108890283","+;+;+;+",4476
"ENSSSCG00000004827","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","140486104;140486124;140491836;140491836;140495356;140495356;140498033;140498033;140515270;140515270;140549328;140549328;140549666;140549666;140550571;140550571;140565771;140566313;140567454;140567676","140487377;140487377;140492047;140492047;140495508;140495508;140498176;140498176;140515352;140515352;140549548;140549548;140549733;140549733;140550692;140550692;140565930;140566372;140567748;140567894","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",2938
"ENSSSCG00000004661","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","123600908;123600908;123600911;123600912;123602337;123606532;123606600;123607299;123607302;123607338;123607338;123607338;123607338;123608776;123608776;123608776;123608776;123608776;123608776;123610049;123610049;123610157;123610157;123610157;123610174;123610174;123610174;123614481;123614481;123614481;123614481;123614481;123614481;123615339;123615339;123615339;123615339;123615339;123615339;123616261;123616261;123616261;123616261;123616261;123616261;123616434;123616434;123616434;123616434;123616434;123616434;123621559;123621559;123621559;123621559;123621559;123621559;123623109;123623109;123623462;123623462;123623834;123623834;123623834;123623834;123623834;123623834;123624235;123624235;123626358;123626358;123626358;123626358;123626358;123626358;123626646;123626646;123626646;123626646;123626646;123626646;123634401;123634401;123634401;123634401;123634401;123634401","123601134;123601134;123601134;123601134;123602372;123606545;123606610;123607546;123607546;123607546;123607546;123607546;123607546;123608851;123608828;123608841;123608828;123608841;123608841;123610056;123610056;123610250;123610250;123610250;123610250;123610250;123610250;123614672;123614672;123614672;123614672;123614672;123614672;123615492;123615492;123615492;123615492;123615492;123615492;123616310;123616310;123616310;123616310;123616310;123616310;123616497;123616497;123616497;123616497;123616497;123616497;123621660;123621660;123621660;123621660;123621660;123621660;123623159;123623159;123623530;123623530;123623932;123623932;123623932;123623932;123623932;123623932;123624306;123624306;123626566;123626566;123626566;123626566;123626566;123626566;123626697;123626697;123626697;123626697;123626697;123626697;123638236;123638236;123638218;123637729;123638236;123637729","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",5664
"ENSSSCG00000004569","1;1;1;1;1;1;1;1;1;1;1;1;1","108909693;108909693;108919578;108919578;108921256;108921256;108921892;108921892;108922604;108923598;108923598;108924096;108924096","108910488;108910488;108919743;108919743;108921607;108921607;108922082;108922082;108922684;108923664;108923664;108924511;108924511","-;-;-;-;-;-;-;-;-;-;-;-;-",2069
"ENSSSCG00000038547","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","140566540;140642699;140675569;140676349;140676637;140676637;140676637;140676953;140676953;140676953;140851105;140851105;140851105;140870135;140870135;140870135;140873474;140873474;140886132;140886157;140886157;140893465;140893465;140893465;140903131;140903131;140903131;140903692","140566750;140642746;140675774;140676508;140676728;140676728;140676728;140677020;140677020;140677020;140851325;140851325;140851325;140870217;140870217;140870249;140873611;140873611;140886309;140886309;140886309;140893709;140893709;140893709;140905620;140905623;140903655;140905620","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",4175
"ENSSSCG00000004570","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","108986986;108986986;108986987;108986991;108987566;108992912;108992913;108992913;108994391;108994391;108995120;108995836;108996176;108996634;108996646;108996646;108996646;108996646;108996646;108996646;108996646;108997004;108997004;108997004;108997004;108997004;108997004;108997004;108997004;108997004;108997525;108997525;108997525;108997525;108997525;108997525;108997525;108998047;108998047;108998382;108998382;108998382;108998382;108998382;108998382;108998382;108998382;108998382;108999549;108999549;108999549;108999549;108999549;108999549;108999549;108999549;108999549;109001700;109001700;109001700;109001700;109001700;109001700;109001700;109001700;109001700;109014559;109014559;109014559;109014559;109014559;109014559;109014559;109014559;109014559;109014880;109014880;109015758;109015758;109015758;109015758;109015758;109015758;109015758;109015758;109016852;109018996;109018996;109019734;109019734","108987846;108987846;108987510;108989078;108987846;108993108;108993108;108993108;108995198;108995198;108996715;108995900;108996273;108996715;108996715;108996715;108996715;108996715;108996715;108996715;108996715;108997066;108997066;108997066;108997066;108997066;108997066;108997066;108997066;108997066;108997600;108997600;108997600;108997600;108997600;108997600;108997600;108998122;108998122;108998452;108998452;108998452;108998452;108998452;108998452;108998452;108998452;108998452;108999666;108999666;108999666;108999666;108999666;108999666;108999666;108999666;108999666;109001833;109001833;109001833;109001833;109001833;109001833;109001833;109001833;109001833;109014684;109014684;109014684;109014684;109014684;109015957;109014684;109014684;109014684;109015005;109015005;109015897;109015897;109015980;109015954;109015897;109015949;109016095;109016095;109016876;109019206;109019206;109020035;109020035","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",7228
"ENSSSCG00000004820","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","139168785;139168785;139171580;139171580;139172942;139172942;139175031;139175031;139176345;139176345;139176540;139176540;139184264;139191094;139191094","139169746;139169746;139171751;139171751;139173532;139173532;139175172;139175172;139176434;139176434;139177051;139176850;139184390;139191163;139191146","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",2666
"ENSSSCG00000033800","1;1;1;1;1;1;1","185397812;185450250;185570401;185578076;185578647;185599215;185599412","185398176;185450379;185570502;185578273;185578835;185599409;185599780","+;+;+;+;+;+;+",1548
"ENSSSCG00000004821","1;1;1;1;1;1;1;1;1;1","139191572;139192166;139199025;139199894;139201326;139201543;139221940;139221940;139236793;139236793","139191945;139192254;139199148;139199916;139201587;139201587;139222545;139222545;139240185;139240166","+;+;+;+;+;+;+;+;+;+",4871
"ENSSSCG00000005071","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","187103809;187103809;187112692;187112692;187118338;187118338;187118508;187119481;187119481;187119481;187127176;187127176;187127176;187202257;187202257;187202257;187202431;187235545;187235545;187235545;187241074;187241074;187241074;187246785;187246785;187246785;187247105;187247115;187258914","187106301;187106301;187113286;187113286;187119245;187119245;187119245;187119615;187119615;187119615;187127207;187127207;187127207;187202514;187202514;187202292;187202514;187235757;187235757;187235757;187241304;187241304;187241304;187248174;187247100;187248177;187247109;187248117;187259015","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",6360
"ENSSSCG00000004839","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","142803701;142807768;142812899;142817546;142817546;142820801;142820801;142821972;142821972;142826781;142826781;142873703;142873703;142886025;142886025;142936586;142936586;142936984;142936984","142808030;142808030;142813008;142817632;142817632;142820995;142820995;142822139;142822139;142826860;142826860;142873812;142873812;142886069;142886069;142936725;142936725;142937123;142937123","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",5405
"ENSSSCG00000049460","1;1;1","187195593;187198168;187200219","187198123;187200181;187200313","-;-;-",4640
"ENSSSCG00000022299","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","187307660;187307660;187311090;187311090;187313191;187313191;187313818;187313818;187315688;187315688;187318388;187318388;187319036;187319036;187323758;187328003;187328003;187328161;187328161;187331354;187331354;187332374;187332374;187334088;187334088","187307854;187307854;187311162;187311162;187313273;187313273;187313926;187313926;187315795;187315795;187318455;187318455;187319115;187319115;187323793;187328082;187328082;187328234;187328234;187331435;187331435;187332575;187332575;187336523;187336523","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",3626
"ENSSSCG00000004819","1;1;1;1;1;1;1;1;1;1;1","139030642;139060044;139072033;139075725;139079148;139083332;139084280;139096376;139100704;139111629;139136793","139033262;139060197;139072139;139075853;139079240;139083382;139084337;139096494;139100818;139111802;139136874","-;-;-;-;-;-;-;-;-;-;-",3703
"ENSSSCG00000004826","1;1;1;1;1;1","139828791;139830619;139830799;139833309;139836036;139836808","139829421;139830697;139830888;139833415;139836170;139836914","-;-;-;-;-;-",1149
"ENSSSCG00000055131","1;1;1","142452177;142452432;142452487","142452429;142452485;142454465","+;+;+",2286
"ENSSSCG00000005072","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","187343507;187343516;187346647;187347378;187347378;187347378;187354482;187354482;187354482;187357814;187357814;187357814;187357996;187357996;187357996;187361012;187361012;187361012;187362362;187362362;187365552;187365552;187368268;187368268;187368268;187369984;187369984;187369984;187370437;187370437;187370437","187343614;187343614;187346727;187347460;187347460;187347460;187354605;187354605;187354605;187357915;187357915;187357915;187358069;187358069;187358069;187361084;187361084;187361084;187362427;187362474;187365598;187365598;187368335;187368335;187368335;187370048;187370048;187370048;187372193;187370588;187372193","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",2695
"ENSSSCG00000004836","1;1","142498792;142499951","142499040;142500841","-;-",1140
"ENSSSCG00000004823","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","139494121;139499860;139542153;139546620;139550883;139551468;139573284;139574789;139575254;139576528;139578063;139579819;139585009;139585822;139586334;139588635;139589268;139590290;139590671;139591233;139595261;139598054;139599461;139601965;139604779;139608555;139610596;139612452;139613598;139615537;139617149;139619849;139621083;139623206","139494449;139500107;139542316;139546791;139551062;139551616;139573510;139574916;139575417;139576665;139578175;139579895;139585138;139585934;139586548;139588799;139589440;139590410;139590830;139591509;139595432;139598217;139599600;139602214;139604945;139608752;139610873;139612646;139613749;139615654;139617265;139620699;139621184;139624604","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",7746
"ENSSSCG00000005073","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","187385332;187385385;187386621;187386621;187388814;187388814;187390462;187390462;187391640;187391640;187401201;187401201;187401370;187401370;187403408;187403408;187408828;187408828;187411200;187411200;187411658;187411658;187424493;187424493;187425893;187425893;187426140;187426140;187426914;187426914;187430487;187430487;187433455;187433455;187436698;187436698;187437621;187437621;187439979;187439979;187441378;187441378;187445189;187446220;187446220;187450693;187450693","187385530;187385530;187386677;187386677;187388924;187388924;187390527;187390527;187391730;187391730;187401280;187401280;187401467;187401467;187403540;187403540;187408907;187408907;187411276;187411276;187411824;187411824;187424565;187424565;187425987;187425987;187426237;187426237;187427145;187427145;187430737;187430737;187433652;187433652;187436782;187436782;187437762;187437822;187441112;187441112;187441482;187441482;187445395;187446366;187446366;187452540;187452534","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",5834
"ENSSSCG00000030560","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","137387825;137397798;137403424;137407066;137409276;137409601;137414148;137415189;137420453;137421208;137422893;137428449;137428825;137431226;137433027;137434992;137445437;137448140;137452430;137638041;137690312","137390567;137397932;137403553;137407225;137409386;137409830;137414218;137415291;137420612;137421344;137423176;137428653;137428992;137431464;137433153;137435206;137445581;137448288;137452742;137638586;137691058","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",7118
"ENSSSCG00000004662","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","123635043;123635043;123635939;123635939;123637914;123637914;123640552;123640552;123642512;123642512;123642966;123642966;123643149;123643149;123655689;123656594;123656594","123635456;123635456;123636040;123636040;123638120;123638120;123640835;123640835;123642612;123642612;123643069;123643069;123643232;123643232;123655868;123656736;123656714","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",1619
"ENSSSCG00000041479","1;1;1","137501065;137501168;137501242","137501137;137501190;137501403","+;+;+",258
