"input_number","input","input_ensg","ensg_number","ortholog_name","ortholog_ensg","description"
168,"CXCR2","ENSG00000180871","168.1.1","Cxcr2","ENSMUSG00000026180","C-X-C motif chemokine receptor 2 [Source:MGI Symbol;Acc:MGI:105303]"
169,"CYB5R3","ENSG00000100243","169.1.1","Cyb5r3","ENSMUSG00000018042","cytochrome b5 reductase 3 [Source:MGI Symbol;Acc:MGI:94893]"
170,"CYBB","ENSG00000165168","170.1.1","Cybb","ENSMUSG00000015340","cytochrome b-245, beta polypeptide [Source:MGI Symbol;Acc:MGI:88574]"
171,"CYP26A1","ENSG00000095596","171.1.1","Cyp26a1","ENSMUSG00000024987","cytochrome P450, family 26, subfamily a, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1096359]"
172,"DAO","ENSG00000110887","172.1.1","Dao","ENSMUSG00000042096","D-amino acid oxidase [Source:MGI Symbol;Acc:MGI:94859]"
173,"DDAH2","ENSG00000213722","173.1.1","Ddah2","ENSMUSG00000007039","DDAH family member 2, ADMA independent [Source:MGI Symbol;Acc:MGI:1859016]"
174,"DDB1","ENSG00000167986","174.1.1","Ddb1","ENSMUSG00000024740","damage specific DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1202384]"
175,"DDB2","ENSG00000134574","175.1.1","Ddb2","ENSMUSG00000002109","damage specific DNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1355314]"
176,"DDIT4","ENSG00000168209","176.1.1","Ddit4","ENSMUSG00000020108","DNA-damage-inducible transcript 4 [Source:MGI Symbol;Acc:MGI:1921997]"
177,"DEK","ENSG00000124795","177.1.1","Dek","ENSMUSG00000021377","DEK proto-oncogene [Source:MGI Symbol;Acc:MGI:1926209]"
178,"DEPTOR","ENSG00000155792","178.1.1","Deptor","ENSMUSG00000022419","DEP domain containing MTOR-interacting protein [Source:MGI Symbol;Acc:MGI:2146322]"
179,"DGCR8","ENSG00000128191","179.1.1","Dgcr8","ENSMUSG00000022718","DGCR8, microprocessor complex subunit [Source:MGI Symbol;Acc:MGI:2151114]"
180,"DHCR24","ENSG00000116133","180.1.1","Dhcr24","ENSMUSG00000034926","24-dehydrocholesterol reductase [Source:MGI Symbol;Acc:MGI:1922004]"
181,"DHRS2","ENSG00000100867","181.1.1","Dhrs2","ENSMUSG00000022209","dehydrogenase/reductase member 2 [Source:MGI Symbol;Acc:MGI:1918662]"
182,"DHX9","ENSG00000135829","182.1.1","Dhx9","ENSMUSG00000042699","DExH-box helicase 9 [Source:MGI Symbol;Acc:MGI:108177]"
183,"DICER1","ENSG00000100697","183.1.1","Dicer1","ENSMUSG00000041415","dicer 1, ribonuclease type III [Source:MGI Symbol;Acc:MGI:2177178]"
184,"DIDO1","ENSG00000101191","184.1.1","Dido1","ENSMUSG00000038914","death inducer-obliterator 1 [Source:MGI Symbol;Acc:MGI:1344352]"
185,"DIRAS3","ENSG00000162595","185.1.1","N/A","N/A","N/A"
186,"DKC1","ENSG00000130826","186.1.1","Dkc1","ENSMUSG00000031403","dyskeratosis congenita 1, dyskerin [Source:MGI Symbol;Acc:MGI:1861727]"
187,"DLC1","ENSG00000164741","187.1.1","Dlc1","ENSMUSG00000031523","deleted in liver cancer 1 [Source:MGI Symbol;Acc:MGI:1354949]"
188,"DMTF1","ENSG00000135164","188.1.1","Dmtf1","ENSMUSG00000042508","cyclin D binding myb like transcription factor 1 [Source:MGI Symbol;Acc:MGI:1344415]"
188,"DMTF1","ENSG00000135164","188.1.2","Dmtf1l","ENSMUSG00000058670","cyclin D binding myb like transcription factor 1 like [Source:MGI Symbol;Acc:MGI:3045322]"
189,"DNMT1","ENSG00000130816","189.1.1","Dnmt1","ENSMUSG00000004099","DNA methyltransferase 1 [Source:MGI Symbol;Acc:MGI:94912]"
190,"DNMT3A","ENSG00000119772","190.1.1","Dnmt3a","ENSMUSG00000020661","DNA methyltransferase 3A [Source:MGI Symbol;Acc:MGI:1261827]"
191,"DNMT3B","ENSG00000088305","191.1.1","Dnmt3b","ENSMUSG00000027478","DNA methyltransferase 3B [Source:MGI Symbol;Acc:MGI:1261819]"
191,"DNMT3B","ENSG00000088305","191.1.2","Dnmt3c","ENSMUSG00000082079","DNA methyltransferase 3C [Source:MGI Symbol;Acc:MGI:3649996]"
192,"DOT1L","ENSG00000104885","192.1.1","Dot1l","ENSMUSG00000061589","DOT1 like histone lysine methyltransferase [Source:MGI Symbol;Acc:MGI:2143886]"
193,"DPP4","ENSG00000197635","193.1.1","Dpp4","ENSMUSG00000035000","dipeptidylpeptidase 4 [Source:MGI Symbol;Acc:MGI:94919]"
194,"DPY30","ENSG00000162961","194.1.1","Dpy30","ENSMUSG00000024067","dpy-30, histone methyltransferase complex regulatory subunit [Source:MGI Symbol;Acc:MGI:1913560]"
195,"DTL","ENSG00000143476","195.1.1","Dtl","ENSMUSG00000037474","denticleless E3 ubiquitin protein ligase [Source:MGI Symbol;Acc:MGI:1924093]"
196,"DUSP1","ENSG00000120129","196.1.1","Dusp1","ENSMUSG00000024190","dual specificity phosphatase 1 [Source:MGI Symbol;Acc:MGI:105120]"
197,"DUSP16","ENSG00000111266","197.1.1","Dusp16","ENSMUSG00000030203","dual specificity phosphatase 16 [Source:MGI Symbol;Acc:MGI:1917936]"
198,"DUSP21","ENSG00000189037","198.1.1","Dusp21","ENSMUSG00000025043","dual specificity phosphatase 21 [Source:MGI Symbol;Acc:MGI:1920797]"
199,"DUSP3","ENSG00000108861","199.1.1","N/A","N/A","N/A"
200,"DUSP6","ENSG00000139318","200.1.1","Dusp6","ENSMUSG00000019960","dual specificity phosphatase 6 [Source:MGI Symbol;Acc:MGI:1914853]"
201,"DYRK1A","ENSG00000157540","201.1.1","Dyrk1a","ENSMUSG00000022897","dual-specificity tyrosine phosphorylation regulated kinase 1a [Source:MGI Symbol;Acc:MGI:1330299]"
202,"E2F1","ENSG00000101412","202.1.1","E2f1","ENSMUSG00000027490","E2F transcription factor 1 [Source:MGI Symbol;Acc:MGI:101941]"
203,"E2F3","ENSG00000112242","203.1.1","E2f3","ENSMUSG00000016477","E2F transcription factor 3 [Source:MGI Symbol;Acc:MGI:1096340]"
204,"E2F7","ENSG00000165891","204.1.1","E2f7","ENSMUSG00000020185","E2F transcription factor 7 [Source:MGI Symbol;Acc:MGI:1289147]"
205,"ECT2","ENSG00000114346","205.1.1","Ect2","ENSMUSG00000027699","ect2 oncogene [Source:MGI Symbol;Acc:MGI:95281]"
206,"EEF1E1","ENSG00000124802","206.1.1","Eef1e1","ENSMUSG00000001707","eukaryotic translation elongation factor 1 epsilon 1 [Source:MGI Symbol;Acc:MGI:1913393]"
207,"EGFR","ENSG00000146648","207.1.1","Egfr","ENSMUSG00000020122","epidermal growth factor receptor [Source:MGI Symbol;Acc:MGI:95294]"
208,"EGLN1","ENSG00000135766","208.1.1","Egln1","ENSMUSG00000031987","egl-9 family hypoxia-inducible factor 1 [Source:MGI Symbol;Acc:MGI:1932286]"
209,"EGR2","ENSG00000122877","209.1.1","Egr2","ENSMUSG00000037868","early growth response 2 [Source:MGI Symbol;Acc:MGI:95296]"
210,"EHF","ENSG00000135373","210.1.1","Ehf","ENSMUSG00000012350","ets homologous factor [Source:MGI Symbol;Acc:MGI:1270840]"
211,"EHMT2","ENSG00000204371","211.1.1","Ehmt2","ENSMUSG00000013787","euchromatic histone lysine N-methyltransferase 2 [Source:MGI Symbol;Acc:MGI:2148922]"
212,"EID3","ENSG00000255150","212.1.1","Eid3","ENSMUSG00000109864","EP300 interacting inhibitor of differentiation 3 [Source:MGI Symbol;Acc:MGI:1913591]"
213,"EIF2AK2","ENSG00000055332","213.1.1","Eif2ak2","ENSMUSG00000024079","eukaryotic translation initiation factor 2-alpha kinase 2 [Source:MGI Symbol;Acc:MGI:1353449]"
214,"EIF2AK3","ENSG00000172071","214.1.1","Eif2ak3","ENSMUSG00000031668","eukaryotic translation initiation factor 2 alpha kinase 3 [Source:MGI Symbol;Acc:MGI:1341830]"
215,"EIF4E","ENSG00000151247","215.1.1","Eif4e","ENSMUSG00000028156","eukaryotic translation initiation factor 4E [Source:MGI Symbol;Acc:MGI:95305]"
216,"EIF4EBP1","ENSG00000187840","216.1.1","Eif4ebp1","ENSMUSG00000031490","eukaryotic translation initiation factor 4E binding protein 1 [Source:MGI Symbol;Acc:MGI:103267]"
217,"EIF4G2","ENSG00000110321","217.1.1","Eif4g2","ENSMUSG00000005610","eukaryotic translation initiation factor 4, gamma 2 [Source:MGI Symbol;Acc:MGI:109207]"
218,"ELAVL1","ENSG00000066044","218.1.1","Elavl1","ENSMUSG00000040028","ELAV like RNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1100851]"
219,"ELOA","ENSG00000011007","219.1.1","Eloa","ENSMUSG00000028668","elongin A [Source:MGI Symbol;Acc:MGI:1351315]"
220,"ENDOG","ENSG00000167136","220.1.1","Endog","ENSMUSG00000015337","endonuclease G [Source:MGI Symbol;Acc:MGI:1261433]"
221,"ENG","ENSG00000106991","221.1.1","Eng","ENSMUSG00000026814","endoglin [Source:MGI Symbol;Acc:MGI:95392]"
222,"ENO1","ENSG00000074800","222.1.1","Eno1b","ENSMUSG00000059040","enolase 1B, retrotransposed [Source:MGI Symbol;Acc:MGI:3648653]"
222,"ENO1","ENSG00000074800","222.1.2","Eno1","ENSMUSG00000063524","enolase 1, alpha non-neuron [Source:MGI Symbol;Acc:MGI:95393]"
223,"ENTPD7","ENSG00000198018","223.1.1","Entpd7","ENSMUSG00000025192","ectonucleoside triphosphate diphosphohydrolase 7 [Source:MGI Symbol;Acc:MGI:2135885]"
224,"EP300","ENSG00000100393","224.1.1","Ep300","ENSMUSG00000055024","E1A binding protein p300 [Source:MGI Symbol;Acc:MGI:1276116]"
225,"EPAS1","ENSG00000116016","225.1.1","Epas1","ENSMUSG00000024140","endothelial PAS domain protein 1 [Source:MGI Symbol;Acc:MGI:109169]"
226,"EPHA3","ENSG00000044524","226.1.1","Epha3","ENSMUSG00000052504","Eph receptor A3 [Source:MGI Symbol;Acc:MGI:99612]"
227,"EPHA5","ENSG00000145242","227.1.1","Epha5","ENSMUSG00000029245","Eph receptor A5 [Source:MGI Symbol;Acc:MGI:99654]"
228,"EPOR","ENSG00000187266","228.1.1","Epor","ENSMUSG00000006235","erythropoietin receptor [Source:MGI Symbol;Acc:MGI:95408]"
229,"ERBB2","ENSG00000141736","229.1.1","Erbb2","ENSMUSG00000062312","erb-b2 receptor tyrosine kinase 2 [Source:MGI Symbol;Acc:MGI:95410]"
230,"ERCC1","ENSG00000012061","230.1.1","Ercc1","ENSMUSG00000003549","excision repair cross-complementing rodent repair deficiency, complementation group 1 [Source:MGI Symbol;Acc:MGI:95412]"
231,"ERRFI1","ENSG00000116285","231.1.1","Errfi1","ENSMUSG00000028967","ERBB receptor feedback inhibitor 1 [Source:MGI Symbol;Acc:MGI:1921405]"
232,"ERVW-1","ENSG00000242950","232.1.1","BC035947","ENSMUSG00000090486","cDNA sequence BC035947 [Source:MGI Symbol;Acc:MGI:2652858]"
232,"ERVW-1","ENSG00000242950","232.1.2","D17H6S56E-5","ENSMUSG00000120992","DNA segment, Chr 17, human D6S56E 5 [Source:MGI Symbol;Acc:MGI:1306799]"
233,"ESPL1","ENSG00000135476","233.1.1","Espl1","ENSMUSG00000058290","extra spindle pole bodies 1, separase [Source:MGI Symbol;Acc:MGI:2146156]"
234,"ESR1","ENSG00000091831","234.1.1","Esr1","ENSMUSG00000019768","estrogen receptor 1 (alpha) [Source:MGI Symbol;Acc:MGI:1352467]"
235,"ESRRB","ENSG00000119715","235.1.1","Esrrb","ENSMUSG00000021255","estrogen related receptor, beta [Source:MGI Symbol;Acc:MGI:1346832]"
236,"ETS1","ENSG00000134954","236.1.1","Ets1","ENSMUSG00000032035","E26 avian leukemia oncogene 1, 5' domain [Source:MGI Symbol;Acc:MGI:95455]"
237,"ETS2","ENSG00000157557","237.1.1","Ets2","ENSMUSG00000022895","E26 avian leukemia oncogene 2, 3' domain [Source:MGI Symbol;Acc:MGI:95456]"
238,"ETV6","ENSG00000139083","238.1.1","Etv6","ENSMUSG00000030199","ets variant 6 [Source:MGI Symbol;Acc:MGI:109336]"
239,"EWSR1","ENSG00000182944","239.1.1","Ewsr1","ENSMUSG00000009079","Ewing sarcoma breakpoint region 1 [Source:MGI Symbol;Acc:MGI:99960]"
240,"EZH2","ENSG00000106462","240.1.1","Ezh2","ENSMUSG00000029687","enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:MGI Symbol;Acc:MGI:107940]"
241,"FANCD2","ENSG00000144554","241.1.1","Fancd2","ENSMUSG00000034023","Fanconi anemia, complementation group D2 [Source:MGI Symbol;Acc:MGI:2448480]"
242,"FASN","ENSG00000169710","242.1.1","Fasn","ENSMUSG00000025153","fatty acid synthase [Source:MGI Symbol;Acc:MGI:95485]"
243,"FASTK","ENSG00000164896","243.1.1","Fastk","ENSMUSG00000028959","Fas-activated serine/threonine kinase [Source:MGI Symbol;Acc:MGI:1913837]"
244,"FBXO22","ENSG00000167196","244.1.1","Fbxo22","ENSMUSG00000032309","F-box protein 22 [Source:MGI Symbol;Acc:MGI:1926014]"
245,"FBXO31","ENSG00000103264","245.1.1","Fbxo31","ENSMUSG00000052934","F-box protein 31 [Source:MGI Symbol;Acc:MGI:1354708]"
246,"FBXO4","ENSG00000151876","246.1.1","Fbxo4","ENSMUSG00000022184","F-box protein 4 [Source:MGI Symbol;Acc:MGI:2146220]"
247,"FBXO5","ENSG00000112029","247.1.1","Fbxo5","ENSMUSG00000019773","F-box protein 5 [Source:MGI Symbol;Acc:MGI:1914391]"
248,"FBXW11","ENSG00000072803","248.1.1","Fbxw11","ENSMUSG00000020271","F-box and WD-40 domain protein 11 [Source:MGI Symbol;Acc:MGI:2144023]"
249,"FDPS","ENSG00000160752","249.1.1","Fdps","ENSMUSG00000059743","farnesyl diphosphate synthetase [Source:MGI Symbol;Acc:MGI:104888]"
250,"FERMT1","ENSG00000101311","250.1.1","Fermt1","ENSMUSG00000027356","fermitin family member 1 [Source:MGI Symbol;Acc:MGI:2443583]"
251,"FERMT2","ENSG00000073712","251.1.1","Fermt2","ENSMUSG00000037712","fermitin family member 2 [Source:MGI Symbol;Acc:MGI:2385001]"
252,"FGF21","ENSG00000105550","252.1.1","Fgf21","ENSMUSG00000030827","fibroblast growth factor 21 [Source:MGI Symbol;Acc:MGI:1861377]"
253,"FGFR1","ENSG00000077782","253.1.1","Fgfr1","ENSMUSG00000031565","fibroblast growth factor receptor 1 [Source:MGI Symbol;Acc:MGI:95522]"
254,"FGFR2","ENSG00000066468","254.1.1","Fgfr2","ENSMUSG00000030849","fibroblast growth factor receptor 2 [Source:MGI Symbol;Acc:MGI:95523]"
255,"FGFR3","ENSG00000068078","255.1.1","Fgfr3","ENSMUSG00000054252","fibroblast growth factor receptor 3 [Source:MGI Symbol;Acc:MGI:95524]"
256,"FIS1","ENSG00000214253","256.1.1","Fis1","ENSMUSG00000019054","fission, mitochondrial 1 [Source:MGI Symbol;Acc:MGI:1913687]"
257,"FLT1","ENSG00000102755","257.1.1","Flt1","ENSMUSG00000029648","FMS-like tyrosine kinase 1 [Source:MGI Symbol;Acc:MGI:95558]"
258,"FNTB","ENSG00000257365","258.1.1","Fntb","ENSMUSG00000033373","farnesyltransferase, CAAX box, beta [Source:MGI Symbol;Acc:MGI:1861305]"
259,"FOS","ENSG00000170345","259.1.1","Fos","ENSMUSG00000021250","FBJ osteosarcoma oncogene [Source:MGI Symbol;Acc:MGI:95574]"
260,"FOXA1","ENSG00000129514","260.1.1","Foxa1","ENSMUSG00000035451","forkhead box A1 [Source:MGI Symbol;Acc:MGI:1347472]"
261,"FOXD1","ENSG00000251493","261.1.1","Foxd1","ENSMUSG00000078302","forkhead box D1 [Source:MGI Symbol;Acc:MGI:1347463]"
262,"FOXM1","ENSG00000111206","262.1.1","Foxm1","ENSMUSG00000001517","forkhead box M1 [Source:MGI Symbol;Acc:MGI:1347487]"
263,"FOXO1","ENSG00000150907","263.1.1","Foxo1","ENSMUSG00000044167","forkhead box O1 [Source:MGI Symbol;Acc:MGI:1890077]"
264,"FOXO3","ENSG00000118689","264.1.1","Foxo3","ENSMUSG00000048756","forkhead box O3 [Source:MGI Symbol;Acc:MGI:1890081]"
265,"FOXO4","ENSG00000184481","265.1.1","Foxo4","ENSMUSG00000042903","forkhead box O4 [Source:MGI Symbol;Acc:MGI:1891915]"
266,"FOXP1","ENSG00000114861","266.1.1","Foxp1","ENSMUSG00000030067","forkhead box P1 [Source:MGI Symbol;Acc:MGI:1914004]"
266,"FOXP1","ENSG00000285708","266.2.1","N/A","N/A","N/A"
267,"FOXP3","ENSG00000049768","267.1.1","Foxp3","ENSMUSG00000039521","forkhead box P3 [Source:MGI Symbol;Acc:MGI:1891436]"
268,"FOXQ1","ENSG00000164379","268.1.1","Foxq1","ENSMUSG00000038415","forkhead box Q1 [Source:MGI Symbol;Acc:MGI:1298228]"
269,"FSCN1","ENSG00000075618","269.1.1","Fscn1","ENSMUSG00000029581","fascin actin-bundling protein 1 [Source:MGI Symbol;Acc:MGI:1352745]"
270,"FXN","ENSG00000165060","270.1.1","Fxn","ENSMUSG00000059363","frataxin [Source:MGI Symbol;Acc:MGI:1096879]"
270,"FXN","ENSG00000285130","270.2.1","N/A","N/A","N/A"
271,"FXR1","ENSG00000114416","271.1.1","Fxr1","ENSMUSG00000027680","FMR1 autosomal homolog 1 [Source:MGI Symbol;Acc:MGI:104860]"
272,"G6PD","ENSG00000160211","272.1.1","G6pdx","ENSMUSG00000031400","glucose-6-phosphate dehydrogenase X-linked [Source:MGI Symbol;Acc:MGI:105979]"
272,"G6PD","ENSG00000160211","272.1.2","G6pd2","ENSMUSG00000089992","glucose-6-phosphate dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:105977]"
273,"GADD45G","ENSG00000130222","273.1.1","Gadd45g","ENSMUSG00000021453","growth arrest and DNA-damage-inducible 45 gamma [Source:MGI Symbol;Acc:MGI:1346325]"
274,"GAPDH","ENSG00000111640","274.1.1","Gapdh","ENSMUSG00000057666","glyceraldehyde-3-phosphate dehydrogenase [Source:MGI Symbol;Acc:MGI:95640]"
274,"GAPDH","ENSG00000111640","274.1.2","Gapdhrt","ENSMUSG00000097148","glyceraldehyde-3-phosphate dehydrogenase, retrotransposed [Source:MGI Symbol;Acc:MGI:3782011]"
274,"GAPDH","ENSG00000111640","274.1.3","Gapdhrt2","ENSMUSG00000110469","glyceraldehyde-3-phosphate dehydrogenase, retrotransposed 2 [Source:MGI Symbol;Acc:MGI:3708786]"
275,"GATA4","ENSG00000136574","275.1.1","Gata4","ENSMUSG00000021944","GATA binding protein 4 [Source:MGI Symbol;Acc:MGI:95664]"
276,"GDF15","ENSG00000130513","276.1.1","Gdf15","ENSMUSG00000038508","growth differentiation factor 15 [Source:MGI Symbol;Acc:MGI:1346047]"
277,"GEMIN2","ENSG00000092208","277.1.1","Gemin2","ENSMUSG00000060121","gem nuclear organelle associated protein 2 [Source:MGI Symbol;Acc:MGI:1913853]"
278,"GGCT","ENSG00000006625","278.1.1","Ggct","ENSMUSG00000002797","gamma-glutamyl cyclotransferase [Source:MGI Symbol;Acc:MGI:95700]"
279,"GJA1","ENSG00000152661","279.1.1","Gja6","ENSMUSG00000055691","gap junction protein, alpha 6 [Source:MGI Symbol;Acc:MGI:95717]"
280,"GKN1","ENSG00000169605","280.1.1","Gkn1","ENSMUSG00000030050","gastrokine 1 [Source:MGI Symbol;Acc:MGI:1913533]"
281,"GLI1","ENSG00000111087","281.1.1","Gli1","ENSMUSG00000025407","GLI-Kruppel family member GLI1 [Source:MGI Symbol;Acc:MGI:95727]"
282,"GMNN","ENSG00000112312","282.1.1","Gmnn","ENSMUSG00000006715","geminin [Source:MGI Symbol;Acc:MGI:1927344]"
283,"GMPS","ENSG00000163655","283.1.1","Gmps","ENSMUSG00000027823","guanine monophosphate synthetase [Source:MGI Symbol;Acc:MGI:2448526]"
284,"GNG11","ENSG00000127920","284.1.1","Gng11","ENSMUSG00000032766","guanine nucleotide binding protein (G protein), gamma 11 [Source:MGI Symbol;Acc:MGI:1913316]"
285,"GNMT","ENSG00000124713","285.1.1","Gnmt","ENSMUSG00000002769","glycine N-methyltransferase [Source:MGI Symbol;Acc:MGI:1202304]"
286,"GPC3","ENSG00000147257","286.1.1","Gpc3","ENSMUSG00000055653","glypican 3 [Source:MGI Symbol;Acc:MGI:104903]"
287,"GRIK2","ENSG00000164418","287.1.1","Grik2","ENSMUSG00000056073","glutamate receptor, ionotropic, kainate 2 (beta 2) [Source:MGI Symbol;Acc:MGI:95815]"
288,"GRK4","ENSG00000125388","288.1.1","Grk4","ENSMUSG00000052783","G protein-coupled receptor kinase 4 [Source:MGI Symbol;Acc:MGI:95801]"
289,"GRK6","ENSG00000198055","289.1.1","Grk6","ENSMUSG00000074886","G protein-coupled receptor kinase 6 [Source:MGI Symbol;Acc:MGI:1347078]"
290,"GRN","ENSG00000030582","290.1.1","Grn","ENSMUSG00000034708","granulin [Source:MGI Symbol;Acc:MGI:95832]"
291,"GRPR","ENSG00000126010","291.1.1","Grpr","ENSMUSG00000031364","gastrin releasing peptide receptor [Source:MGI Symbol;Acc:MGI:95836]"
292,"GRSF1","ENSG00000132463","292.1.1","Grsf1","ENSMUSG00000044221","G-rich RNA sequence binding factor 1 [Source:MGI Symbol;Acc:MGI:106479]"
293,"GSK3A","ENSG00000105723","293.1.1","Gsk3a","ENSMUSG00000057177","glycogen synthase kinase 3 alpha [Source:MGI Symbol;Acc:MGI:2152453]"
294,"GSK3B","ENSG00000082701","294.1.1","Gsk3b","ENSMUSG00000022812","glycogen synthase kinase 3 beta [Source:MGI Symbol;Acc:MGI:1861437]"
295,"GTSE1","ENSG00000075218","295.1.1","Gtse1","ENSMUSG00000022385","G two S phase expressed protein 1 [Source:MGI Symbol;Acc:MGI:1352755]"
296,"HAS1","ENSG00000105509","296.1.1","Has1","ENSMUSG00000003665","hyaluronan synthase 1 [Source:MGI Symbol;Acc:MGI:106590]"
297,"HAUS4","ENSG00000092036","297.1.1","Haus4","ENSMUSG00000022177","HAUS augmin-like complex, subunit 4 [Source:MGI Symbol;Acc:MGI:1261794]"
298,"HBP1","ENSG00000105856","298.1.1","Hbp1","ENSMUSG00000002996","high mobility group box transcription factor 1 [Source:MGI Symbol;Acc:MGI:894659]"
299,"HDAC1","ENSG00000116478","299.1.1","Hdac1","ENSMUSG00000028800","histone deacetylase 1 [Source:MGI Symbol;Acc:MGI:108086]"
300,"HDAC2","ENSG00000196591","300.1.1","Hdac2","ENSMUSG00000019777","histone deacetylase 2 [Source:MGI Symbol;Acc:MGI:1097691]"
301,"HDAC3","ENSG00000171720","301.1.1","Hdac3","ENSMUSG00000024454","histone deacetylase 3 [Source:MGI Symbol;Acc:MGI:1343091]"
302,"HDAC4","ENSG00000068024","302.1.1","Hdac4","ENSMUSG00000026313","histone deacetylase 4 [Source:MGI Symbol;Acc:MGI:3036234]"
303,"HDAC7","ENSG00000061273","303.1.1","Hdac7","ENSMUSG00000022475","histone deacetylase 7 [Source:MGI Symbol;Acc:MGI:1891835]"
304,"HELLS","ENSG00000119969","304.1.1","Hells","ENSMUSG00000025001","helicase, lymphoid specific [Source:MGI Symbol;Acc:MGI:106209]"
305,"HEPACAM","ENSG00000165478","305.1.1","Hepacam","ENSMUSG00000046240","hepatocyte cell adhesion molecule [Source:MGI Symbol;Acc:MGI:1920177]"
306,"HIF1A","ENSG00000100644","306.1.1","Hif1a","ENSMUSG00000021109","hypoxia inducible factor 1, alpha subunit [Source:MGI Symbol;Acc:MGI:106918]"
307,"HIPK2","ENSG00000064393","307.1.1","Hipk2","ENSMUSG00000061436","homeodomain interacting protein kinase 2 [Source:MGI Symbol;Acc:MGI:1314872]"
308,"HIRA","ENSG00000100084","308.1.1","Hira","ENSMUSG00000022702","histone cell cycle regulator [Source:MGI Symbol;Acc:MGI:99430]"
309,"HIVEP1","ENSG00000095951","309.1.1","Hivep1","ENSMUSG00000021366","human immunodeficiency virus type I enhancer binding protein 1 [Source:MGI Symbol;Acc:MGI:96100]"
310,"HJURP","ENSG00000123485","310.1.1","Hjurp","ENSMUSG00000044783","Holliday junction recognition protein [Source:MGI Symbol;Acc:MGI:2685821]"
311,"HK3","ENSG00000160883","311.1.1","Hk3","ENSMUSG00000025877","hexokinase 3 [Source:MGI Symbol;Acc:MGI:2670962]"
312,"HMGA1","ENSG00000137309","312.1.1","Hmga1","ENSMUSG00000046711","high mobility group AT-hook 1 [Source:MGI Symbol;Acc:MGI:96160]"
313,"HMGA2","ENSG00000149948","313.1.1","Hmga2","ENSMUSG00000056758","high mobility group AT-hook 2 [Source:MGI Symbol;Acc:MGI:101761]"
314,"HMGB1","ENSG00000189403","314.1.1","Hmgb1","ENSMUSG00000066551","high mobility group box 1 [Source:MGI Symbol;Acc:MGI:96113]"
315,"HMGB2","ENSG00000164104","315.1.1","Hmgb2","ENSMUSG00000054717","high mobility group box 2 [Source:MGI Symbol;Acc:MGI:96157]"
316,"HMGB3","ENSG00000029993","316.1.1","Hmgb3","ENSMUSG00000015217","high mobility group box 3 [Source:MGI Symbol;Acc:MGI:1098219]"
317,"HMGCR","ENSG00000113161","317.1.1","Hmgcr","ENSMUSG00000021670","3-hydroxy-3-methylglutaryl-Coenzyme A reductase [Source:MGI Symbol;Acc:MGI:96159]"
318,"HNRNPA1","ENSG00000135486","318.1.1","Hnrnpa1","ENSMUSG00000046434","heterogeneous nuclear ribonucleoprotein A1 [Source:MGI Symbol;Acc:MGI:104820]"
319,"HNRNPA3","ENSG00000170144","319.1.1","Hnrnpa3","ENSMUSG00000059005","heterogeneous nuclear ribonucleoprotein A3 [Source:MGI Symbol;Acc:MGI:1917171]"
320,"HNRNPAB","ENSG00000197451","320.1.1","Hnrnpab","ENSMUSG00000020358","heterogeneous nuclear ribonucleoprotein A/B [Source:MGI Symbol;Acc:MGI:1330294]"
321,"HNRNPC","ENSG00000092199","321.1.1","N/A","N/A","N/A"
322,"HNRNPD","ENSG00000138668","322.1.1","Hnrnpd","ENSMUSG00000000568","heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947]"
323,"HOPX","ENSG00000171476","323.1.1","Hopx","ENSMUSG00000059325","HOP homeobox [Source:MGI Symbol;Acc:MGI:1916782]"
324,"HOXA9","ENSG00000078399","324.1.1","Hoxa9","ENSMUSG00000038227","homeobox A9 [Source:MGI Symbol;Acc:MGI:96180]"
325,"HRAS","ENSG00000174775","325.1.1","Hras","ENSMUSG00000025499","Harvey rat sarcoma virus oncogene [Source:MGI Symbol;Acc:MGI:96224]"
326,"HS2ST1","ENSG00000153936","326.1.1","Hs2st1","ENSMUSG00000040151","heparan sulfate 2-O-sulfotransferase 1 [Source:MGI Symbol;Acc:MGI:1346049]"
327,"HSF1","ENSG00000185122","327.1.1","Hsf1","ENSMUSG00000022556","heat shock factor 1 [Source:MGI Symbol;Acc:MGI:96238]"
328,"HSP90AA1","ENSG00000080824","328.1.1","Hsp90aa1","ENSMUSG00000021270","heat shock protein 90, alpha (cytosolic), class A member 1 [Source:MGI Symbol;Acc:MGI:96250]"
329,"HSP90AB1","ENSG00000096384","329.1.1","Hsp90ab1","ENSMUSG00000023944","heat shock protein 90 alpha (cytosolic), class B member 1 [Source:MGI Symbol;Acc:MGI:96247]"
330,"HSPA1A","ENSG00000204389","330.1.1","Hspa1b","ENSMUSG00000090877","heat shock protein 1B [Source:MGI Symbol;Acc:MGI:99517]"
330,"HSPA1A","ENSG00000204389","330.1.2","Hspa1a","ENSMUSG00000091971","heat shock protein 1A [Source:MGI Symbol;Acc:MGI:96244]"
