"ortholog_name","input","input_number","input_ensg","ensg_number","ortholog_ensg","description","n_human_orthologs","n_mouse_inputs"
"KIAA1549","D630045J12Rik",618,"ENSMUSG00000063455","618.1.1","ENSG00000122778","KIAA1549 [Source:HGNC Symbol;Acc:HGNC:22219]",1,1
"N/A","D6Ertd527e",1367,"ENSMUSG00000090891","1367.1.1","N/A","N/A",1,75
"DAB2","Dab2",1371,"ENSMUSG00000022150","1371.1.1","ENSG00000153071","DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]",1,1
"DACT3","Dact3",407,"ENSMUSG00000078794","407.1.1","ENSG00000197380","dishevelled binding antagonist of beta catenin 3 [Source:HGNC Symbol;Acc:HGNC:30745]",1,1
"DBI","Dbi",1126,"ENSMUSG00000026385","1126.1.1","ENSG00000155368","diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]",1,1
"DBN1","Dbn1",1168,"ENSMUSG00000034675","1168.1.1","ENSG00000113758","drebrin 1 [Source:HGNC Symbol;Acc:HGNC:2695]",1,1
"DCHS1","Dchs1",38,"ENSMUSG00000036862","38.1.1","ENSG00000166341","dachsous cadherin-related 1 [Source:HGNC Symbol;Acc:HGNC:13681]",1,1
"DCLK2","Dclk2",1242,"ENSMUSG00000028078","1242.1.1","ENSG00000170390","doublecortin like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19002]",1,1
"DCST2","Dcst2",1129,"ENSMUSG00000109293","1129.1.1","ENSG00000163354","DC-STAMP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26562]",1,1
"DDIT4L","Ddit4l",403,"ENSMUSG00000046818","403.1.1","ENSG00000145358","DNA damage inducible transcript 4 like [Source:HGNC Symbol;Acc:HGNC:30555]",1,1
"DEF6","Def6",874,"ENSMUSG00000002257","874.1.1","ENSG00000023892","DEF6 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:2760]",1,1
"DENND2D","Dennd2d",619,"ENSMUSG00000027901","619.1.1","ENSG00000162777","DENN domain containing 2D [Source:HGNC Symbol;Acc:HGNC:26192]",1,1
"DEPDC1","Depdc1a",1,"ENSMUSG00000028175","1.1.1","ENSG00000024526","DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]",1,1
"DGAT2","Dgat2",1027,"ENSMUSG00000030747","1027.1.1","ENSG00000062282","diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940]",1,1
"DGAT2L6","Dgat2l6",451,"ENSMUSG00000067597","451.1.1","ENSG00000184210","diacylglycerol O-acyltransferase 2 like 6 [Source:HGNC Symbol;Acc:HGNC:23250]",1,1
"DHDH","Dhdh",174,"ENSMUSG00000011382","174.1.1","ENSG00000104808","dihydrodiol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:17887]",1,1
"DIAPH3","Diaph3",534,"ENSMUSG00000022021","534.1.1","ENSG00000139734","diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480]",1,1
"DISP2","Disp2",822,"ENSMUSG00000040035","822.1.1","ENSG00000140323","dispatched RND transporter family member 2 [Source:HGNC Symbol;Acc:HGNC:19712]",1,1
"DKK3","Dkk3",249,"ENSMUSG00000030772","249.1.1","ENSG00000050165","dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:2893]",1,1
"DLG4","Dlg4",1162,"ENSMUSG00000020886","1162.1.1","ENSG00000132535","discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]",1,1
"DLGAP5","Dlgap5",1211,"ENSMUSG00000037544","1211.1.1","ENSG00000126787","DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864]",1,1
"DLX3","Dlx3",740,"ENSMUSG00000001510","740.1.1","ENSG00000064195","distal-less homeobox 3 [Source:HGNC Symbol;Acc:HGNC:2916]",1,1
"DLX4","Dlx4",163,"ENSMUSG00000020871","163.1.1","ENSG00000108813","distal-less homeobox 4 [Source:HGNC Symbol;Acc:HGNC:2917]",1,1
"DMC1","Dmc1",245,"ENSMUSG00000022429","245.1.1","ENSG00000100206","DNA meiotic recombinase 1 [Source:HGNC Symbol;Acc:HGNC:2927]",1,1
"DMKN","Dmkn",362,"ENSMUSG00000060962","362.1.1","ENSG00000161249","dermokine [Source:HGNC Symbol;Acc:HGNC:25063]",1,1
"DMRT2","Dmrt2",1383,"ENSMUSG00000048138","1383.1.1","ENSG00000173253","doublesex and mab-3 related transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:2935]",1,1
"DNAI2","Dnai2",1361,"ENSMUSG00000034706","1361.1.1","ENSG00000171595","dynein axonemal intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:18744]",1,1
"DNAJC15","Dnajc15",849,"ENSMUSG00000022013","849.1.1","ENSG00000120675","DnaJ heat shock protein family (Hsp40) member C15 [Source:HGNC Symbol;Acc:HGNC:20325]",1,1
"DNM1","Dnm1",692,"ENSMUSG00000026825","692.1.1","ENSG00000106976","dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972]",1,1
"DNMT3L","Dnmt3l",153,"ENSMUSG00000000730","153.1.1","ENSG00000142182","DNA methyltransferase 3 like [Source:HGNC Symbol;Acc:HGNC:2980]",1,1
"DOC2B","Doc2b",133,"ENSMUSG00000020848","133.1.1","ENSG00000272636","double C2 domain beta [Source:HGNC Symbol;Acc:HGNC:2986]",1,1
"DPEP2","Dpep2",1301,"ENSMUSG00000053687","1301.1.1","ENSG00000167261","dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:23028]",1,1
"DPT","Dpt",533,"ENSMUSG00000026574","533.1.1","ENSG00000143196","dermatopontin [Source:HGNC Symbol;Acc:HGNC:3011]",1,1
"DPY19L1","Dpy19l1",103,"ENSMUSG00000043067","103.1.1","ENSG00000173852","dpy-19 like C-mannosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:22205]",1,1
"DPYD","Dpyd",501,"ENSMUSG00000033308","501.1.1","ENSG00000188641","dihydropyrimidine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3012]",1,1
"DRAXIN","Draxin",288,"ENSMUSG00000029005","288.1.1","ENSG00000162490","dorsal inhibitory axon guidance protein [Source:HGNC Symbol;Acc:HGNC:25054]",1,1
"DSEL","Dsel",1294,"ENSMUSG00000038702","1294.1.1","ENSG00000171451","dermatan sulfate epimerase like [Source:HGNC Symbol;Acc:HGNC:18144]",1,1
"DTNA","Dtna",499,"ENSMUSG00000024302","499.1.1","ENSG00000134769","dystrobrevin alpha [Source:HGNC Symbol;Acc:HGNC:3057]",1,1
"DUSP13B","Dusp13b",550,"ENSMUSG00000021768","550.1.1","ENSG00000079393","dual specificity phosphatase 13B [Source:HGNC Symbol;Acc:HGNC:19681]",1,1
"DUSP26","Dusp26",1134,"ENSMUSG00000039661","1134.1.1","ENSG00000133878","dual specificity phosphatase 26 [Source:HGNC Symbol;Acc:HGNC:28161]",1,1
"DZIP1","Dzip1",1091,"ENSMUSG00000042156","1091.1.1","ENSG00000134874","DAZ interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:20908]",1,1
"DZIP1L","Dzip1l",1344,"ENSMUSG00000037784","1344.1.1","ENSG00000158163","DAZ interacting zinc finger protein 1 like [Source:HGNC Symbol;Acc:HGNC:26551]",1,1
"ECE2","Ece2",1079,"ENSMUSG00000022842","1079.1.1","ENSG00000145194","endothelin converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13275]",1,1
"ECHDC1","Echdc1",34,"ENSMUSG00000019883","34.1.1","ENSG00000093144","ethylmalonyl-CoA decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:21489]",1,1
"ECRG4","Ecrg4",467,"ENSMUSG00000026051","467.1.1","ENSG00000119147","ECRG4 augurin precursor [Source:HGNC Symbol;Acc:HGNC:24642]",1,1
"ECT2","Ect2",343,"ENSMUSG00000027699","343.1.1","ENSG00000114346","epithelial cell transforming 2 [Source:HGNC Symbol;Acc:HGNC:3155]",1,1
"EDIL3","Edil3",679,"ENSMUSG00000034488","679.1.1","ENSG00000164176","EGF like repeats and discoidin domains 3 [Source:HGNC Symbol;Acc:HGNC:3173]",1,1
"EDNRA","Ednra",548,"ENSMUSG00000031616","548.1.1","ENSG00000151617","endothelin receptor type A [Source:HGNC Symbol;Acc:HGNC:3179]",1,1
"EFCAB2","Efcab2",1010,"ENSMUSG00000026495","1010.1.1","ENSG00000203666","EF-hand calcium binding domain 2 [Source:HGNC Symbol;Acc:HGNC:28166]",1,1
"EFCAB6","Efcab6",57,"ENSMUSG00000022441","57.1.1","ENSG00000186976","EF-hand calcium binding domain 6 [Source:HGNC Symbol;Acc:HGNC:24204]",1,1
"EFEMP2","Efemp2",349,"ENSMUSG00000024909","349.1.1","ENSG00000172638","EGF containing fibulin extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219]",1,1
"EFHB","Efhb",606,"ENSMUSG00000023931","606.1.1","ENSG00000163576","EF-hand domain family member B [Source:HGNC Symbol;Acc:HGNC:26330]",1,1
"EFNA2","Efna2",452,"ENSMUSG00000003070","452.1.1","ENSG00000099617","ephrin A2 [Source:HGNC Symbol;Acc:HGNC:3222]",1,1
"EFNA4","Efna4",689,"ENSMUSG00000028040","689.1.1","ENSG00000243364","ephrin A4 [Source:HGNC Symbol;Acc:HGNC:3224]",1,1
"EGF","Egf",583,"ENSMUSG00000028017","583.1.1","ENSG00000138798","epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]",1,1
"EGFR","Egfr",724,"ENSMUSG00000020122","724.1.1","ENSG00000146648","epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]",1,1
"EGR3","Egr3",205,"ENSMUSG00000033730","205.1.1","ENSG00000179388","early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]",1,1
"ELAPOR2","Elapor2",1292,"ENSMUSG00000056004","1292.1.1","ENSG00000164659","endosome-lysosome associated apoptosis and autophagy regulator family member 2 [Source:HGNC Symbol;Acc:HGNC:21945]",1,1
"ELF4","Elf4",562,"ENSMUSG00000031103","562.1.1","ENSG00000102034","E74 like ETS transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3319]",1,1
"ELFN1","Elfn1",447,"ENSMUSG00000048988","447.1.1","ENSG00000225968","extracellular leucine rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33154]",1,1
"ELK3","Elk3",552,"ENSMUSG00000008398","552.1.1","ENSG00000111145","ETS transcription factor ELK3 [Source:HGNC Symbol;Acc:HGNC:3325]",1,1
"ELN","Eln",268,"ENSMUSG00000029675","268.1.1","ENSG00000049540","elastin [Source:HGNC Symbol;Acc:HGNC:3327]",1,1
"ELOVL7","Elovl7",472,"ENSMUSG00000021696","472.1.1","ENSG00000164181","ELOVL fatty acid elongase 7 [Source:HGNC Symbol;Acc:HGNC:26292]",1,1
"EMB","Emb",580,"ENSMUSG00000021728","580.1.1","ENSG00000170571","embigin [Source:HGNC Symbol;Acc:HGNC:30465]",1,1
"EMILIN1","Emilin1",1062,"ENSMUSG00000029163","1062.1.1","ENSG00000138080","elastin microfibril interfacer 1 [Source:HGNC Symbol;Acc:HGNC:19880]",1,1
"EMILIN3","Emilin3",561,"ENSMUSG00000050700","561.1.1","ENSG00000183798","elastin microfibril interfacer 3 [Source:HGNC Symbol;Acc:HGNC:16123]",1,1
"EN2","En2",369,"ENSMUSG00000039095","369.1.1","ENSG00000164778","engrailed homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3343]",1,1
"ENO2","Eno2",1372,"ENSMUSG00000004267","1372.1.1","ENSG00000111674","enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]",1,1
"ENO3","Eno3",1084,"ENSMUSG00000060600","1084.1.1","ENSG00000108515","enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]",1,1
"ENOX1","Enox1",1133,"ENSMUSG00000022012","1133.1.1","ENSG00000120658","ecto-NOX disulfide-thiol exchanger 1 [Source:HGNC Symbol;Acc:HGNC:25474]",1,1
"ENPP1","Enpp1",260,"ENSMUSG00000037370","260.1.1","ENSG00000197594","ectonucleotide pyrophosphatase/phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:3356]",1,1
"ENPP6","Enpp6",333,"ENSMUSG00000038173","333.1.1","ENSG00000164303","ectonucleotide pyrophosphatase/phosphodiesterase 6 [Source:HGNC Symbol;Acc:HGNC:23409]",1,1
"ENTPD7","Entpd7",795,"ENSMUSG00000025192","795.1.1","ENSG00000198018","ectonucleoside triphosphate diphosphohydrolase 7 [Source:HGNC Symbol;Acc:HGNC:19745]",1,1
"EPB41L3","Epb41l3",555,"ENSMUSG00000024044","555.1.1","ENSG00000082397","erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380]",1,1
"EPHA3","Epha3",482,"ENSMUSG00000052504","482.1.1","ENSG00000044524","EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]",1,1
"EPHB2","Ephb2",1144,"ENSMUSG00000028664","1144.1.1","ENSG00000133216","EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]",1,1
"EPHB3","Ephb3",573,"ENSMUSG00000005958","573.1.1","ENSG00000182580","EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]",1,1
"EPHX2","Ephx2",680,"ENSMUSG00000022040","680.1.1","ENSG00000120915","epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]",1,1
"EPYC","Epyc",159,"ENSMUSG00000019936","159.1.1","ENSG00000083782","epiphycan [Source:HGNC Symbol;Acc:HGNC:3053]",1,1
"ERBB4","Erbb4",1140,"ENSMUSG00000062209","1140.1.1","ENSG00000178568","erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432]",1,1
"EREG","Ereg",744,"ENSMUSG00000029377","744.1.1","ENSG00000124882","epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]",1,1
"ERFE","Erfe",1100,"ENSMUSG00000047443","1100.1.1","ENSG00000178752","erythroferrone [Source:HGNC Symbol;Acc:HGNC:26727]",1,1
"ESPL1","Espl1",1251,"ENSMUSG00000058290","1251.1.1","ENSG00000135476","extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]",1,1
"ESRRB","Esrrb",152,"ENSMUSG00000021255","152.1.1","ENSG00000119715","estrogen related receptor beta [Source:HGNC Symbol;Acc:HGNC:3473]",1,1
"ESRRG","Esrrg",155,"ENSMUSG00000026610","155.1.1","ENSG00000196482","estrogen related receptor gamma [Source:HGNC Symbol;Acc:HGNC:3474]",1,1
"EVI2A","Evi2a",1026,"ENSMUSG00000078771","1026.1.1","ENSG00000126860","ecotropic viral integration site 2A [Source:HGNC Symbol;Acc:HGNC:3499]",1,1
"EVPL","Evpl",509,"ENSMUSG00000034282","509.1.1","ENSG00000167880","envoplakin [Source:HGNC Symbol;Acc:HGNC:3503]",1,1
"EXT1","Ext1",386,"ENSMUSG00000061731","386.1.1","ENSG00000182197","exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]",1,1
"EYA1","Eya1",1305,"ENSMUSG00000025932","1305.1.1","ENSG00000104313","EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]",1,1
"EZR","Ezr",483,"ENSMUSG00000052397","483.1.1","ENSG00000092820","ezrin [Source:HGNC Symbol;Acc:HGNC:12691]",1,1
"F7","F7",388,"ENSMUSG00000031443","388.1.1","ENSG00000057593","coagulation factor VII [Source:HGNC Symbol;Acc:HGNC:3544]",1,1
"FABP3","Fabp3",687,"ENSMUSG00000028773","687.1.1","ENSG00000121769","fatty acid binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3557]",1,1
"FABP4","Fabp4",489,"ENSMUSG00000062515","489.1.1","ENSG00000170323","fatty acid binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3559]",1,1
"FAM114A1","Fam114a1",292,"ENSMUSG00000029185","292.1.1","ENSG00000197712","family with sequence similarity 114 member A1 [Source:HGNC Symbol;Acc:HGNC:25087]",1,1
"FAM13A","Fam13a",904,"ENSMUSG00000037709","904.1.1","ENSG00000138640","family with sequence similarity 13 member A [Source:HGNC Symbol;Acc:HGNC:19367]",1,1
"FAM167A","Fam167a",320,"ENSMUSG00000035095","320.1.1","ENSG00000154319","family with sequence similarity 167 member A [Source:HGNC Symbol;Acc:HGNC:15549]",1,1
"FAM167B","Fam167b",891,"ENSMUSG00000050493","891.1.1","ENSG00000183615","family with sequence similarity 167 member B [Source:HGNC Symbol;Acc:HGNC:28133]",1,1
"FAM171A2","Fam171a2",86,"ENSMUSG00000034685","86.1.1","ENSG00000161682","family with sequence similarity 171 member A2 [Source:HGNC Symbol;Acc:HGNC:30480]",1,1
"FAM171B","Fam171b",381,"ENSMUSG00000048388","381.1.1","ENSG00000144369","family with sequence similarity 171 member B [Source:HGNC Symbol;Acc:HGNC:29412]",1,1
"FAM83A","Fam83a",1401,"ENSMUSG00000051225","1401.1.1","ENSG00000147689","family with sequence similarity 83 member A [Source:HGNC Symbol;Acc:HGNC:28210]",1,1
"FAP","Fap",419,"ENSMUSG00000000392","419.1.1","ENSG00000078098","fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]",1,1
"FAR2","Far2",481,"ENSMUSG00000030303","481.1.1","ENSG00000064763","fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]",1,1
"FARP1","Farp1",819,"ENSMUSG00000025555","819.1.1","ENSG00000152767","FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]",1,1
"FASN","Fasn",871,"ENSMUSG00000025153","871.1.1","ENSG00000169710","fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]",1,1
"FAXC","Faxc",519,"ENSMUSG00000028246","519.1.1","ENSG00000146267","failed axon connections homolog, metaxin like GST domain containing [Source:HGNC Symbol;Acc:HGNC:20742]",1,1
"FBLIM1","Fblim1",1019,"ENSMUSG00000006219","1019.1.1","ENSG00000162458","filamin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:24686]",1,1
"FBLN7","Fbln7",1145,"ENSMUSG00000027386","1145.1.1","ENSG00000144152","fibulin 7 [Source:HGNC Symbol;Acc:HGNC:26740]",1,1
"FBN1","Fbn1",690,"ENSMUSG00000027204","690.1.1","ENSG00000166147","fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]",1,1
"FBN2","Fbn2",899,"ENSMUSG00000024598","899.1.1","ENSG00000138829","fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]",1,1
"FBP2","Fbp2",867,"ENSMUSG00000021456","867.1.1","ENSG00000130957","fructose-bisphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3607]",1,1
"FBXL13","Fbxl13",406,"ENSMUSG00000048520","406.1.1","ENSG00000161040","F-box and leucine rich repeat protein 13 [Source:HGNC Symbol;Acc:HGNC:21658]",1,1
"FBXL2","Fbxl2",1202,"ENSMUSG00000032507","1202.1.1","ENSG00000153558","F-box and leucine rich repeat protein 2 [Source:HGNC Symbol;Acc:HGNC:13598]",1,1
"FBXO32","Fbxo32",737,"ENSMUSG00000022358","737.1.1","ENSG00000156804","F-box protein 32 [Source:HGNC Symbol;Acc:HGNC:16731]",1,1
"FCRL6","Fcrl2",1223,"ENSMUSG00000015852","1223.1.1","ENSG00000181036","Fc receptor like 6 [Source:HGNC Symbol;Acc:HGNC:31910]",1,1
"FER1L6","Fer1l6",505,"ENSMUSG00000037106","505.1.1","ENSG00000214814","fer-1 like family member 6 [Source:HGNC Symbol;Acc:HGNC:28065]",1,1
"FFAR2","Ffar2",952,"ENSMUSG00000051314","952.1.1","ENSG00000126262","free fatty acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:4501]",1,1
"FFAR4","Ffar4",65,"ENSMUSG00000054200","65.1.1","ENSG00000186188","free fatty acid receptor 4 [Source:HGNC Symbol;Acc:HGNC:19061]",1,1
"FGD1","Fgd1",1406,"ENSMUSG00000025265","1406.1.1","ENSG00000102302","FYVE, RhoGEF and PH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3663]",1,1
"FGF9","Fgf9",171,"ENSMUSG00000021974","171.1.1","ENSG00000102678","fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687]",1,1
"FGFBP1","Fgfbp1",1195,"ENSMUSG00000048373","1195.1.1","ENSG00000137440","fibroblast growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19695]",1,1
"FHL2","Fhl2",1247,"ENSMUSG00000008136","1247.1.1","ENSG00000115641","four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]",1,1
"FKBP10","Fkbp10",873,"ENSMUSG00000001555","873.1.1","ENSG00000141756","FKBP prolyl isomerase 10 [Source:HGNC Symbol;Acc:HGNC:18169]",1,1
"FKBP11","Fkbp11",104,"ENSMUSG00000003355","104.1.1","ENSG00000134285","FKBP prolyl isomerase 11 [Source:HGNC Symbol;Acc:HGNC:18624]",1,1
"FKBP1B","Fkbp1b",207,"ENSMUSG00000020635","207.1.1","ENSG00000119782","FKBP prolyl isomerase 1B [Source:HGNC Symbol;Acc:HGNC:3712]",1,1
"FLACC1","Flacc1",1095,"ENSMUSG00000047528","1095.1.1","ENSG00000155749","flagellum associated containing coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:14439]",1,1
"FLNA","Flna",1260,"ENSMUSG00000031328","1260.1.1","ENSG00000196924","filamin A [Source:HGNC Symbol;Acc:HGNC:3754]",1,1
"FLT3","Flt3",1238,"ENSMUSG00000042817","1238.1.1","ENSG00000122025","fms related receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]",1,1
"FLYWCH2","Flywch2",805,"ENSMUSG00000023911","805.1.1","ENSG00000162076","FLYWCH family member 2 [Source:HGNC Symbol;Acc:HGNC:25178]",1,1
"FMN1","Fmn1",553,"ENSMUSG00000044042","553.1.1","ENSG00000248905","formin 1 [Source:HGNC Symbol;Acc:HGNC:3768]",1,1
"FMNL3","Fmnl3",395,"ENSMUSG00000023008","395.1.1","ENSG00000161791","formin like 3 [Source:HGNC Symbol;Acc:HGNC:23698]",1,1
"FMO4","Fmo4",1288,"ENSMUSG00000026692","1288.1.1","ENSG00000076258","flavin containing dimethylaniline monoxygenase 4 [Source:HGNC Symbol;Acc:HGNC:3772]",1,1
"FN1","Fn1",828,"ENSMUSG00000026193","828.1.1","ENSG00000115414","fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]",1,1
"FN3K","Fn3k",898,"ENSMUSG00000025175","898.1.1","ENSG00000167363","fructosamine 3 kinase [Source:HGNC Symbol;Acc:HGNC:24822]",1,1
"FNDC1","Fndc1",42,"ENSMUSG00000071984","42.1.1","ENSG00000164694","fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21184]",1,1
"FNDC3B","Fndc3b",1291,"ENSMUSG00000039286","1291.1.1","ENSG00000075420","fibronectin type III domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24670]",1,1
"FNDC5","Fndc5",786,"ENSMUSG00000001334","786.1.1","ENSG00000160097","fibronectin type III domain containing 5 [Source:HGNC Symbol;Acc:HGNC:20240]",1,1
"FOLR1","Folr1",757,"ENSMUSG00000001827","757.1.1","ENSG00000110195","folate receptor alpha [Source:HGNC Symbol;Acc:HGNC:3791]",1,1
"FOS","Fos",934,"ENSMUSG00000021250","934.1.1","ENSG00000170345","Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]",1,1
"FOSB","Fosb",193,"ENSMUSG00000003545","193.1.1","ENSG00000125740","FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]",1,1
"FOSL2","Fosl2",994,"ENSMUSG00000029135","994.1.1","ENSG00000075426","FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]",1,1
"FOXC1","Foxc1",651,"ENSMUSG00000050295","651.1.1","ENSG00000054598","forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]",1,1
"FOXC2","Foxc2",936,"ENSMUSG00000046714","936.1.1","ENSG00000176692","forkhead box C2 [Source:HGNC Symbol;Acc:HGNC:3801]",1,1
"FOXD1","Foxd1",1104,"ENSMUSG00000078302","1104.1.1","ENSG00000251493","forkhead box D1 [Source:HGNC Symbol;Acc:HGNC:3802]",1,1
"FOXF1","Foxf1",1329,"ENSMUSG00000042812","1329.1.1","ENSG00000103241","forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]",1,1
"FOXM1","Foxm1",894,"ENSMUSG00000001517","894.1.1","ENSG00000111206","forkhead box M1 [Source:HGNC Symbol;Acc:HGNC:3818]",1,1
"FOXP1","Foxp1",1235,"ENSMUSG00000030067","1235.1.1","ENSG00000114861","forkhead box P1 [Source:HGNC Symbol;Acc:HGNC:3823]",1,1
"FRK","Frk",1360,"ENSMUSG00000019779","1360.1.1","ENSG00000111816","fyn related Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3955]",1,1
"FRMD5","Frmd5",1368,"ENSMUSG00000027238","1368.1.1","ENSG00000171877","FERM domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28214]",1,1
"FRMPD3","Frmpd3",541,"ENSMUSG00000042425","541.1.1","ENSG00000147234","FERM and PDZ domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29382]",1,1
"FRRS1","Frrs1",1039,"ENSMUSG00000033386","1039.1.1","ENSG00000156869","ferric chelate reductase 1 [Source:HGNC Symbol;Acc:HGNC:27622]",1,1
"FSD2","Fsd2",1376,"ENSMUSG00000038663","1376.1.1","ENSG00000186628","fibronectin type III and SPRY domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18024]",1,1
"FSTL1","Fstl1",716,"ENSMUSG00000022816","716.1.1","ENSG00000163430","follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972]",1,1
"N/A","Fxyd5",787,"ENSMUSG00000009687","787.1.1","N/A","N/A",1,75
"FZD1","Fzd1",756,"ENSMUSG00000044674","756.1.1","ENSG00000157240","frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]",1,1
"FZD2","Fzd2",932,"ENSMUSG00000050288","932.1.1","ENSG00000180340","frizzled class receptor 2 [Source:HGNC Symbol;Acc:HGNC:4040]",1,1
"FZD6","Fzd6",475,"ENSMUSG00000022297","475.1.1","ENSG00000164930","frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]",1,1
"FZD8","Fzd8",359,"ENSMUSG00000036904","359.1.1","ENSG00000177283","frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]",1,1
"G0S2","G0s2",325,"ENSMUSG00000009633","325.1.1","ENSG00000123689","G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]",1,1
"GALNT10","Galnt10",17,"ENSMUSG00000020520","17.1.1","ENSG00000164574","polypeptide N-acetylgalactosaminyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19873]",1,1
"GALNT16","Galnt16",224,"ENSMUSG00000021130","224.1.1","ENSG00000100626","polypeptide N-acetylgalactosaminyltransferase 16 [Source:HGNC Symbol;Acc:HGNC:23233]",1,1
"GALNT6","Galnt6",1176,"ENSMUSG00000037280","1176.1.1","ENSG00000139629","polypeptide N-acetylgalactosaminyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:4128]",1,1
