"input","ortholog_name","input_ensg","ortholog_ensg"
"Eno2","ENO2","ENSMUSG00000004267","ENSG00000111674"
"Eno3","ENO3","ENSMUSG00000060600","ENSG00000108515"
"Enox1","ENOX1","ENSMUSG00000022012","ENSG00000120658"
"Enpp1","ENPP1","ENSMUSG00000037370","ENSG00000197594"
"Enpp6","ENPP6","ENSMUSG00000038173","ENSG00000164303"
"Entpd7","ENTPD7","ENSMUSG00000025192","ENSG00000198018"
"Epb41l3","EPB41L3","ENSMUSG00000024044","ENSG00000082397"
"Epha3","EPHA3","ENSMUSG00000052504","ENSG00000044524"
"Ephb2","EPHB2","ENSMUSG00000028664","ENSG00000133216"
"Ephb3","EPHB3","ENSMUSG00000005958","ENSG00000182580"
"Ephx2","EPHX2","ENSMUSG00000022040","ENSG00000120915"
"Epyc","EPYC","ENSMUSG00000019936","ENSG00000083782"
"Erbb4","ERBB4","ENSMUSG00000062209","ENSG00000178568"
"Ereg","EREG","ENSMUSG00000029377","ENSG00000124882"
"Erfe","ERFE","ENSMUSG00000047443","ENSG00000178752"
"Espl1","ESPL1","ENSMUSG00000058290","ENSG00000135476"
"Esrrb","ESRRB","ENSMUSG00000021255","ENSG00000119715"
"Esrrg","ESRRG","ENSMUSG00000026610","ENSG00000196482"
"Evi2a","EVI2A","ENSMUSG00000078771","ENSG00000126860"
"Evpl","EVPL","ENSMUSG00000034282","ENSG00000167880"
"Ext1","EXT1","ENSMUSG00000061731","ENSG00000182197"
"Eya1","EYA1","ENSMUSG00000025932","ENSG00000104313"
"Ezr","EZR","ENSMUSG00000052397","ENSG00000092820"
"F7","F7","ENSMUSG00000031443","ENSG00000057593"
"Fabp3","FABP3","ENSMUSG00000028773","ENSG00000121769"
"Fabp4","FABP4","ENSMUSG00000062515","ENSG00000170323"
"Fam114a1","FAM114A1","ENSMUSG00000029185","ENSG00000197712"
"Fam13a","FAM13A","ENSMUSG00000037709","ENSG00000138640"
"Fam167a","FAM167A","ENSMUSG00000035095","ENSG00000154319"
"Fam167b","FAM167B","ENSMUSG00000050493","ENSG00000183615"
"Fam171a2","FAM171A2","ENSMUSG00000034685","ENSG00000161682"
"Fam171b","FAM171B","ENSMUSG00000048388","ENSG00000144369"
"Fam83a","FAM83A","ENSMUSG00000051225","ENSG00000147689"
"Fap","FAP","ENSMUSG00000000392","ENSG00000078098"
"Far2","FAR2","ENSMUSG00000030303","ENSG00000064763"
"Farp1","FARP1","ENSMUSG00000025555","ENSG00000152767"
"Fasn","FASN","ENSMUSG00000025153","ENSG00000169710"
"Faxc","FAXC","ENSMUSG00000028246","ENSG00000146267"
"Fblim1","FBLIM1","ENSMUSG00000006219","ENSG00000162458"
"Fbln7","FBLN7","ENSMUSG00000027386","ENSG00000144152"
"Fbn1","FBN1","ENSMUSG00000027204","ENSG00000166147"
"Fbn2","FBN2","ENSMUSG00000024598","ENSG00000138829"
"Fbp2","FBP2","ENSMUSG00000021456","ENSG00000130957"
"Fbxl13","FBXL13","ENSMUSG00000048520","ENSG00000161040"
"Fbxl2","FBXL2","ENSMUSG00000032507","ENSG00000153558"
"Fbxo32","FBXO32","ENSMUSG00000022358","ENSG00000156804"
"Fcrl2","FCRL6","ENSMUSG00000015852","ENSG00000181036"
"Fer1l6","FER1L6","ENSMUSG00000037106","ENSG00000214814"
"Ffar2","FFAR2","ENSMUSG00000051314","ENSG00000126262"
"Ffar4","FFAR4","ENSMUSG00000054200","ENSG00000186188"
"Fgd1","FGD1","ENSMUSG00000025265","ENSG00000102302"
"Fgf9","FGF9","ENSMUSG00000021974","ENSG00000102678"
"Fgfbp1","FGFBP1","ENSMUSG00000048373","ENSG00000137440"
"Fhl2","FHL2","ENSMUSG00000008136","ENSG00000115641"
"Fkbp10","FKBP10","ENSMUSG00000001555","ENSG00000141756"
"Fkbp11","FKBP11","ENSMUSG00000003355","ENSG00000134285"
"Fkbp1b","FKBP1B","ENSMUSG00000020635","ENSG00000119782"
"Flacc1","FLACC1","ENSMUSG00000047528","ENSG00000155749"
"Flna","FLNA","ENSMUSG00000031328","ENSG00000196924"
"Flt3","FLT3","ENSMUSG00000042817","ENSG00000122025"
"Flywch2","FLYWCH2","ENSMUSG00000023911","ENSG00000162076"
"Fmn1","FMN1","ENSMUSG00000044042","ENSG00000248905"
"Fmnl3","FMNL3","ENSMUSG00000023008","ENSG00000161791"
"Fmo4","FMO4","ENSMUSG00000026692","ENSG00000076258"
"Fn1","FN1","ENSMUSG00000026193","ENSG00000115414"
"Fn3k","FN3K","ENSMUSG00000025175","ENSG00000167363"
"Fndc1","FNDC1","ENSMUSG00000071984","ENSG00000164694"
"Fndc3b","FNDC3B","ENSMUSG00000039286","ENSG00000075420"
"Fndc5","FNDC5","ENSMUSG00000001334","ENSG00000160097"
"Folr1","FOLR1","ENSMUSG00000001827","ENSG00000110195"
"Fos","FOS","ENSMUSG00000021250","ENSG00000170345"
"Fosb","FOSB","ENSMUSG00000003545","ENSG00000125740"
"Fosl2","FOSL2","ENSMUSG00000029135","ENSG00000075426"
"Foxc1","FOXC1","ENSMUSG00000050295","ENSG00000054598"
"Foxc2","FOXC2","ENSMUSG00000046714","ENSG00000176692"
"Foxd1","FOXD1","ENSMUSG00000078302","ENSG00000251493"
"Foxf1","FOXF1","ENSMUSG00000042812","ENSG00000103241"
"Foxm1","FOXM1","ENSMUSG00000001517","ENSG00000111206"
"Foxp1","FOXP1","ENSMUSG00000030067","ENSG00000114861"
"Frk","FRK","ENSMUSG00000019779","ENSG00000111816"
"Frmd5","FRMD5","ENSMUSG00000027238","ENSG00000171877"
"Frmpd3","FRMPD3","ENSMUSG00000042425","ENSG00000147234"
"Frrs1","FRRS1","ENSMUSG00000033386","ENSG00000156869"
"Fsd2","FSD2","ENSMUSG00000038663","ENSG00000186628"
"Fstl1","FSTL1","ENSMUSG00000022816","ENSG00000163430"
"Fzd1","FZD1","ENSMUSG00000044674","ENSG00000157240"
"Fzd2","FZD2","ENSMUSG00000050288","ENSG00000180340"
"Fzd6","FZD6","ENSMUSG00000022297","ENSG00000164930"
"Fzd8","FZD8","ENSMUSG00000036904","ENSG00000177283"
"G0s2","G0S2","ENSMUSG00000009633","ENSG00000123689"
"Galnt10","GALNT10","ENSMUSG00000020520","ENSG00000164574"
"Galnt16","GALNT16","ENSMUSG00000021130","ENSG00000100626"
"Galnt6","GALNT6","ENSMUSG00000037280","ENSG00000139629"
"Galnt9","GALNT9","ENSMUSG00000033316","ENSG00000182870"
"Garnl3","GARNL3","ENSMUSG00000038860","ENSG00000136895"
"Gas1","GAS1","ENSMUSG00000052957","ENSG00000180447"
"Gbgt1","GBGT1","ENSMUSG00000026829","ENSG00000148288"
"Gcnt4","GCNT4","ENSMUSG00000091387","ENSG00000176928"
"Gdap1","GDAP1","ENSMUSG00000025777","ENSG00000104381"
"Gdf3","GDF3","ENSMUSG00000030117","ENSG00000184344"
"Gdf5","GDF5","ENSMUSG00000038259","ENSG00000125965"
"Gdnf","GDNF","ENSMUSG00000022144","ENSG00000168621"
"Gem","GEM","ENSMUSG00000028214","ENSG00000164949"
"Gfra1","GFRA1","ENSMUSG00000025089","ENSG00000151892"
"Ggt5","GGT5","ENSMUSG00000006344","ENSG00000099998"
"Gipc2","GIPC2","ENSMUSG00000039131","ENSG00000137960"
"Glb1","GLB1","ENSMUSG00000045594","ENSG00000170266"
"Glb1l","GLB1L","ENSMUSG00000026200","ENSG00000163521"
"Glb1l2","GLB1L2","ENSMUSG00000036395","ENSG00000149328"
"Gli2","GLI2","ENSMUSG00000048402","ENSG00000074047"
"Gli3","GLI3","ENSMUSG00000021318","ENSG00000106571"
"Glipr1","GLIPR1","ENSMUSG00000056888","ENSG00000139278"
"Glipr2","GLIPR2","ENSMUSG00000028480","ENSG00000122694"
"Glis2","GLIS2","ENSMUSG00000014303","ENSG00000126603"
"Glis3","GLIS3","ENSMUSG00000052942","ENSG00000107249"
"Glrb","GLRB","ENSMUSG00000028020","ENSG00000109738"
"Gm17455","C10orf105","ENSMUSG00000090439","ENSG00000214688"
"Gm36210","C19orf85","ENSMUSG00000110221","ENSG00000283567"
"Gna15","GNA15","ENSMUSG00000034792","ENSG00000060558"
"Gnai1","GNAI1","ENSMUSG00000057614","ENSG00000127955"
"Gng4","GNG4","ENSMUSG00000021303","ENSG00000168243"
"Gp1bb","GP1BB","ENSMUSG00000050761","ENSG00000203618"
"Gpat3","GPAT3","ENSMUSG00000029314","ENSG00000138678"
"Gpc2","GPC2","ENSMUSG00000029510","ENSG00000213420"
"Gpcpd1","GPCPD1","ENSMUSG00000027346","ENSG00000125772"
"Gpd1","GPD1","ENSMUSG00000023019","ENSG00000167588"
"Gpm6b","GPM6B","ENSMUSG00000031342","ENSG00000046653"
"Gpr153","GPR153","ENSMUSG00000042804","ENSG00000158292"
"Gpr162","GPR162","ENSMUSG00000038390","ENSG00000250510"
"Gpr171","GPR171","ENSMUSG00000050075","ENSG00000174946"
"Gpr173","GPR173","ENSMUSG00000056679","ENSG00000184194"
"Gpr176","GPR176","ENSMUSG00000040133","ENSG00000166073"
"Gpr183","GPR183","ENSMUSG00000051212","ENSG00000169508"
"Gpr34","GPR34","ENSMUSG00000040229","ENSG00000171659"
"Gpr65","GPR65","ENSMUSG00000021886","ENSG00000140030"
"Gpr85","GPR85","ENSMUSG00000048216","ENSG00000164604"
"Gpr88","GPR88","ENSMUSG00000068696","ENSG00000181656"
"Gprin2","GPRIN2","ENSMUSG00000071531","ENSG00000204175"
"Gpsm2","GPSM2","ENSMUSG00000027883","ENSG00000121957"
"Gpt","GPT","ENSMUSG00000022546","ENSG00000167701"
"Gpt2","GPT2","ENSMUSG00000031700","ENSG00000166123"
"Gpx7","GPX7","ENSMUSG00000028597","ENSG00000116157"
"Gramd2a","GRAMD2A","ENSMUSG00000074259","ENSG00000175318"
"Grin2d","GRIN2D","ENSMUSG00000002771","ENSG00000105464"
"Grn","GRN","ENSMUSG00000034708","ENSG00000030582"
"Gsta3","GSTA5","ENSMUSG00000025934","ENSG00000182793"
"Gstz1","GSTZ1","ENSMUSG00000021033","ENSG00000100577"
"Gtse1","GTSE1","ENSMUSG00000022385","ENSG00000075218"
"Gxylt2","GXYLT2","ENSMUSG00000030074","ENSG00000172986"
"Gys2","GYS2","ENSMUSG00000030244","ENSG00000111713"
"H1f4","H1-4","ENSMUSG00000051627","ENSG00000168298"
"Hapln1","HAPLN1","ENSMUSG00000021613","ENSG00000145681"
"Hapln4","HAPLN4","ENSMUSG00000007594","ENSG00000187664"
"Has1","HAS1","ENSMUSG00000003665","ENSG00000105509"
"Has2","HAS2","ENSMUSG00000022367","ENSG00000170961"
"Havcr2","HAVCR2","ENSMUSG00000020399","ENSG00000135077"
"Hcar1","HCAR1","ENSMUSG00000049241","ENSG00000196917"
"Hcn1","HCN1","ENSMUSG00000021730","ENSG00000164588"
"Heph","HEPH","ENSMUSG00000031209","ENSG00000089472"
"Hexb","HEXB","ENSMUSG00000021665","ENSG00000049860"
"Hgf","HGF","ENSMUSG00000028864","ENSG00000019991"
"Hhat","HHAT","ENSMUSG00000037375","ENSG00000054392"
"Hhipl1","HHIPL1","ENSMUSG00000021260","ENSG00000182218"
"Hibch","HIBCH","ENSMUSG00000041426","ENSG00000198130"
"Hif1a","HIF1A","ENSMUSG00000021109","ENSG00000100644"
"Hint3","HINT3","ENSMUSG00000019791","ENSG00000111911"
"Hjv","HJV","ENSMUSG00000038403","ENSG00000168509"
"Hmcn1","HMCN1","ENSMUSG00000066842","ENSG00000143341"
"Homer3","HOMER3","ENSMUSG00000003573","ENSG00000051128"
"Hook1","HOOK1","ENSMUSG00000028572","ENSG00000134709"
"Hpgds","HPGDS","ENSMUSG00000029919","ENSG00000163106"
"Hs3st5","HS3ST5","ENSMUSG00000044499","ENSG00000249853"
"Hsd11b1","HSD11B1","ENSMUSG00000016194","ENSG00000117594"
"Hsd11b2","HSD11B2","ENSMUSG00000031891","ENSG00000176387"
"Hsd17b14","HSD17B14","ENSMUSG00000030825","ENSG00000087076"
"Hspa1l","HSPA1L","ENSMUSG00000007033","ENSG00000204390"
"Htr2b","HTR2B","ENSMUSG00000026228","ENSG00000135914"
"Htra1","HTRA1","ENSMUSG00000006205","ENSG00000166033"
"Htra3","HTRA3","ENSMUSG00000029096","ENSG00000170801"
"Icam4","ICAM4","ENSMUSG00000001014","ENSG00000105371"
"Igfals","IGFALS","ENSMUSG00000046070","ENSG00000099769"
"Igfbp4","IGFBP4","ENSMUSG00000017493","ENSG00000141753"
"Iglon5","IGLON5","ENSMUSG00000013367","ENSG00000142549"
"Igsf10","IGSF10","ENSMUSG00000036334","ENSG00000152580"
"Ikbip","IKBIP","ENSMUSG00000019975","ENSG00000166130"
"Ikbke","IKBKE","ENSMUSG00000042349","ENSG00000263528"
"Il13ra1","IL13RA1","ENSMUSG00000017057","ENSG00000131724"
"Il17ra","IL17RA","ENSMUSG00000002897","ENSG00000177663"
"Il17re","IL17RE","ENSMUSG00000043088","ENSG00000163701"
"Il1b","IL1B","ENSMUSG00000027398","ENSG00000125538"
"Il1rl1","IL1RL1","ENSMUSG00000026069","ENSG00000115602"
"Il1rn","IL1RN","ENSMUSG00000026981","ENSG00000136689"
"Il21r","IL21R","ENSMUSG00000030745","ENSG00000103522"
"Il33","IL33","ENSMUSG00000024810","ENSG00000137033"
"Il4ra","IL4R","ENSMUSG00000030748","ENSG00000077238"
"Il7r","IL7R","ENSMUSG00000003882","ENSG00000168685"
"Immp2l","IMMP2L","ENSMUSG00000056899","ENSG00000184903"
"Inca1","INCA1","ENSMUSG00000057054","ENSG00000196388"
"Inhba","INHBA","ENSMUSG00000041324","ENSG00000122641"
"Inmt","INMT","ENSMUSG00000003477","ENSG00000241644"
"Inpp5d","INPP5D","ENSMUSG00000026288","ENSG00000168918"
"Inpp5j","INPP5J","ENSMUSG00000034570","ENSG00000185133"
"Iqgap1","IQGAP1","ENSMUSG00000030536","ENSG00000140575"
"Iqgap3","IQGAP3","ENSMUSG00000028068","ENSG00000183856"
"Islr","ISLR","ENSMUSG00000037206","ENSG00000129009"
"Ism1","ISM1","ENSMUSG00000074766","ENSG00000101230"
"Itga10","ITGA10","ENSMUSG00000090210","ENSG00000143127"
"Itga11","ITGA11","ENSMUSG00000032243","ENSG00000137809"
"Itga2b","ITGA2B","ENSMUSG00000034664","ENSG00000005961"
"Itga5","ITGA5","ENSMUSG00000000555","ENSG00000161638"
"Itgax","ITGAX","ENSMUSG00000030789","ENSG00000140678"
"Itgb1bp2","ITGB1BP2","ENSMUSG00000031312","ENSG00000147166"
"Itgb3","ITGB3","ENSMUSG00000020689","ENSG00000259207"
"Itpka","ITPKA","ENSMUSG00000027296","ENSG00000137825"
"Itprip","ITPRIP","ENSMUSG00000117975","ENSG00000148841"
"Itpripl2","ITPRIPL2","ENSMUSG00000095115","ENSG00000205730"
"Jph1","JPH1","ENSMUSG00000042686","ENSG00000104369"
"Jsrp1","JSRP1","ENSMUSG00000020216","ENSG00000167476"
"Junb","JUNB","ENSMUSG00000052837","ENSG00000171223"
"Kbtbd12","KBTBD12","ENSMUSG00000033182","ENSG00000187715"
"Kcnab2","KCNAB2","ENSMUSG00000028931","ENSG00000069424"
"Kcnd1","KCND1","ENSMUSG00000009731","ENSG00000102057"
"Kcnf1","KCNF1","ENSMUSG00000051726","ENSG00000162975"
"Kcnip3","KCNIP3","ENSMUSG00000079056","ENSG00000115041"
"Kcnj15","KCNJ15","ENSMUSG00000062609","ENSG00000157551"
"Kcnk13","KCNK13","ENSMUSG00000045404","ENSG00000152315"
"Kcnk6","KCNK6","ENSMUSG00000046410","ENSG00000099337"
"Kcns1","KCNS1","ENSMUSG00000040164","ENSG00000124134"
"Kcns3","KCNS3","ENSMUSG00000043673","ENSG00000170745"
"Kcnu1","KCNU1","ENSMUSG00000031576","ENSG00000215262"
"Kctd1","KCTD1","ENSMUSG00000036225","ENSG00000134504"
"Kctd11","KCTD11","ENSMUSG00000046731","ENSG00000213859"
"Kdelr3","KDELR3","ENSMUSG00000010830","ENSG00000100196"
"Kif14","KIF14","ENSMUSG00000041498","ENSG00000118193"
"Kif18b","KIF18B","ENSMUSG00000051378","ENSG00000186185"
"Kif20a","KIF20A","ENSMUSG00000003779","ENSG00000112984"
"Kif22","KIF22","ENSMUSG00000030677","ENSG00000079616"
"Kif2c","KIF2C","ENSMUSG00000028678","ENSG00000142945"
"Kif4","KIF4A","ENSMUSG00000034311","ENSG00000090889"
"Kifc1","KIFC1","ENSMUSG00000079553","ENSG00000237649"
"Kirrel1","KIRREL1","ENSMUSG00000041734","ENSG00000183853"
"Klb","KLB","ENSMUSG00000029195","ENSG00000134962"
"Klf15","KLF15","ENSMUSG00000030087","ENSG00000163884"
"Klhdc7a","KLHDC7A","ENSMUSG00000078234","ENSG00000179023"
"Klhdc8a","KLHDC8A","ENSMUSG00000042115","ENSG00000162873"
"Klhl23","KLHL23","ENSMUSG00000042155","ENSG00000213160"
"Klhl38","KLHL38","ENSMUSG00000022357","ENSG00000175946"
"Klrb1b","KLRB1","ENSMUSG00000079298","ENSG00000111796"
"Kng2","KNG1","ENSMUSG00000060459","ENSG00000113889"
"Knstrn","KNSTRN","ENSMUSG00000027331","ENSG00000128944"
"Kyat3","KYAT3","ENSMUSG00000040213","ENSG00000137944"
"Lair1","LAIR1","ENSMUSG00000055541","ENSG00000167613"
"Lamb1","LAMB1","ENSMUSG00000002900","ENSG00000091136"
"Lax1","LAX1","ENSMUSG00000051998","ENSG00000122188"
"Layn","LAYN","ENSMUSG00000060594","ENSG00000204381"
"Lbh","LBH","ENSMUSG00000024063","ENSG00000213626"
"Lbp","LBP","ENSMUSG00000016024","ENSG00000129988"
"Lctl","LCTL","ENSMUSG00000032401","ENSG00000188501"
"Ldhb","LDHB","ENSMUSG00000030246","ENSG00000111716"
"Ldhd","LDHD","ENSMUSG00000031958","ENSG00000166816"
"Lep","LEP","ENSMUSG00000059201","ENSG00000174697"
"Lgals12","LGALS12","ENSMUSG00000024972","ENSG00000133317"
"Lgals3","LGALS3","ENSMUSG00000050335","ENSG00000131981"
"Lgi3","LGI3","ENSMUSG00000033595","ENSG00000168481"
"Lgr5","LGR5","ENSMUSG00000020140","ENSG00000139292"
"Lhx2","LHX2","ENSMUSG00000000247","ENSG00000106689"
"Lima1","LIMA1","ENSMUSG00000023022","ENSG00000050405"
"Lin28a","LIN28A","ENSMUSG00000050966","ENSG00000131914"
"Lingo3","LINGO3","ENSMUSG00000051067","ENSG00000220008"
"Lipa","LIPA","ENSMUSG00000024781","ENSG00000107798"
"Lipe","LIPE","ENSMUSG00000003123","ENSG00000079435"
"Lix1l","LIX1L","ENSMUSG00000049288","ENSG00000271601"
"Lmna","LMNA","ENSMUSG00000028063","ENSG00000160789"
"Lmod3","LMOD3","ENSMUSG00000044086","ENSG00000163380"
"Lmx1b","LMX1B","ENSMUSG00000038765","ENSG00000136944"
"Loxl1","LOXL1","ENSMUSG00000032334","ENSG00000129038"
"Loxl2","LOXL2","ENSMUSG00000034205","ENSG00000134013"
"Loxl3","LOXL3","ENSMUSG00000000693","ENSG00000115318"
"Lpar1","LPAR1","ENSMUSG00000038668","ENSG00000198121"
"Lpar3","LPAR3","ENSMUSG00000036832","ENSG00000171517"
"Lpcat2","LPCAT2","ENSMUSG00000033192","ENSG00000087253"
"Lpl","LPL","ENSMUSG00000015568","ENSG00000175445"
"Lrfn1","LRFN1","ENSMUSG00000030600","ENSG00000128011"
"Lrfn4","LRFN4","ENSMUSG00000045045","ENSG00000173621"
"Lrig3","LRIG3","ENSMUSG00000020105","ENSG00000139263"
"Lrp1","LRP1","ENSMUSG00000040249","ENSG00000123384"
"Lrp8","LRP8","ENSMUSG00000028613","ENSG00000157193"
"Lrrc14b","LRRC14B","ENSMUSG00000021579","ENSG00000185028"
"Lrrc15","LRRC15","ENSMUSG00000052316","ENSG00000172061"
"Lrrc17","LRRC17","ENSMUSG00000039883","ENSG00000128606"
"Lrrc18","LRRC18","ENSMUSG00000041673","ENSG00000165383"
"Lrrc2","LRRC2","ENSMUSG00000032495","ENSG00000163827"
"Lrrc23","LRRC23","ENSMUSG00000030125","ENSG00000010626"
"Lrrc30","LRRC30","ENSMUSG00000073375","ENSG00000206422"
"Lrrc32","LRRC32","ENSMUSG00000090958","ENSG00000137507"
"Lrrc39","LRRC39","ENSMUSG00000027961","ENSG00000122477"
"Lrrc73","LRRC73","ENSMUSG00000071073","ENSG00000204052"
"Lrrc74b","LRRC74B","ENSMUSG00000022759","ENSG00000187905"
"Lrrc75b","LRRC75B","ENSMUSG00000046807","ENSG00000178026"
"Lrrc8e","LRRC8E","ENSMUSG00000046589","ENSG00000171017"
"Lsmem1","LSMEM1","ENSMUSG00000071342","ENSG00000181016"
"Ltb4r2","LTB4R2","ENSMUSG00000040432","ENSG00000213906"
"Ltbp1","LTBP1","ENSMUSG00000001870","ENSG00000049323"
"Ltbp2","LTBP2","ENSMUSG00000002020","ENSG00000119681"
"Ltbp3","LTBP3","ENSMUSG00000024940","ENSG00000168056"
"Lum","LUM","ENSMUSG00000036446","ENSG00000139329"
"Ly9","LY9","ENSMUSG00000004707","ENSG00000122224"
"Lyz2","LYZ","ENSMUSG00000069516","ENSG00000090382"
"Mab21l2","MAB21L2","ENSMUSG00000057777","ENSG00000181541"
"Mafb","MAFB","ENSMUSG00000074622","ENSG00000204103"
"Man1c1","MAN1C1","ENSMUSG00000037306","ENSG00000117643"
"Man2a1","MAN2A1","ENSMUSG00000024085","ENSG00000112893"
"Man2b2","MAN2B2","ENSMUSG00000029119","ENSG00000013288"
"Manba","MANBA","ENSMUSG00000028164","ENSG00000109323"
"Marcksl1","MARCKSL1","ENSMUSG00000047945","ENSG00000175130"
"Masp1","MASP1","ENSMUSG00000022887","ENSG00000127241"
"Matn2","MATN2","ENSMUSG00000022324","ENSG00000132561"
"Matn4","MATN4","ENSMUSG00000016995","ENSG00000124159"
"Mc2r","MC2R","ENSMUSG00000045569","ENSG00000185231"
"Mcrip2","MCRIP2","ENSMUSG00000025732","ENSG00000172366"
"Mcub","MCUB","ENSMUSG00000027994","ENSG00000005059"
"Mdfi","MDFI","ENSMUSG00000032717","ENSG00000112559"
"Mdfic2","MDFIC2","ENSMUSG00000090667","ENSG00000242120"
"Mdk","MDK","ENSMUSG00000027239","ENSG00000110492"
"Me1","ME1","ENSMUSG00000032418","ENSG00000065833"
"Medag","MEDAG","ENSMUSG00000029659","ENSG00000102802"
"Megf10","MEGF10","ENSMUSG00000024593","ENSG00000145794"
"Megf6","MEGF6","ENSMUSG00000057751","ENSG00000162591"
"Mest","MEST","ENSMUSG00000051855","ENSG00000106484"
"Metrnl","METRNL","ENSMUSG00000039208","ENSG00000176845"
"Mettl21c","METTL21C","ENSMUSG00000047343","ENSG00000139780"
"Mettl21e","METTL21EP","ENSMUSG00000046828","ENSG00000250878"
"Mettl22","METTL22","ENSMUSG00000039345","ENSG00000067365"
"Mex3a","MEX3A","ENSMUSG00000074480","ENSG00000254726"
"Mex3b","MEX3B","ENSMUSG00000057706","ENSG00000183496"
"Mfap2","MFAP2","ENSMUSG00000060572","ENSG00000117122"
"Mfap4","MFAP4","ENSMUSG00000042436","ENSG00000166482"
"Mfap5","MFAP5","ENSMUSG00000030116","ENSG00000197614"
"Mfrp","MFRP","ENSMUSG00000034739","ENSG00000235718"
"Mfsd4b1","MFSD4B","ENSMUSG00000038522","ENSG00000173214"
"Mgat5","MGAT5","ENSMUSG00000036155","ENSG00000152127"
"Mgp","MGP","ENSMUSG00000030218","ENSG00000111341"
"Mgst3","MGST3","ENSMUSG00000026688","ENSG00000143198"
"Misp3","MISP3","ENSMUSG00000074217","ENSG00000141854"
"Mlip","MLIP","ENSMUSG00000032355","ENSG00000146147"
"Mmd","MMD","ENSMUSG00000003948","ENSG00000108960"
"Mmp11","MMP11","ENSMUSG00000000901","ENSG00000099953"
"Mmp12","MMP12","ENSMUSG00000049723","ENSG00000262406"
"Mmp13","MMP13","ENSMUSG00000050578","ENSG00000137745"
"Mmp14","MMP14","ENSMUSG00000000957","ENSG00000157227"
"Mmp16","MMP16","ENSMUSG00000028226","ENSG00000156103"
"Mmp17","MMP17","ENSMUSG00000029436","ENSG00000198598"
"Mmp19","MMP19","ENSMUSG00000025355","ENSG00000123342"
"Mmp2","MMP2","ENSMUSG00000031740","ENSG00000087245"
"Mmp23","MMP23B","ENSMUSG00000029061","ENSG00000189409"
"Mmp3","MMP3","ENSMUSG00000043613","ENSG00000149968"
"Mogat1","MOGAT1","ENSMUSG00000012187","ENSG00000124003"
"Moxd1","MOXD1","ENSMUSG00000020000","ENSG00000079931"
"Mpeg1","MPEG1","ENSMUSG00000046805","ENSG00000197629"
"Mpzl2","MPZL2","ENSMUSG00000032092","ENSG00000149573"
"Mrap","MRAP","ENSMUSG00000039956","ENSG00000170262"
"Mrc2","MRC2","ENSMUSG00000020695","ENSG00000011028"
"Mrgpre","MRGPRE","ENSMUSG00000048965","ENSG00000184350"
"Mrgprf","MRGPRF","ENSMUSG00000031070","ENSG00000172935"
"Ms4a14","MS4A14","ENSMUSG00000099398","ENSG00000166928"
"Ms4a7","MS4A7","ENSMUSG00000024672","ENSG00000166927"
"Msi1","MSI1","ENSMUSG00000054256","ENSG00000135097"
"Msn","MSN","ENSMUSG00000031207","ENSG00000147065"
"Msr1","MSR1","ENSMUSG00000025044","ENSG00000038945"
"Mstn","MSTN","ENSMUSG00000026100","ENSG00000138379"
"Mthfd1l","MTHFD1L","ENSMUSG00000040675","ENSG00000120254"
"Mtmr7","MTMR7","ENSMUSG00000039431","ENSG00000003987"
"Muc1","MUC1","ENSMUSG00000042784","ENSG00000185499"
"Mxd3","MXD3","ENSMUSG00000021485","ENSG00000213347"
"Mxra8","MXRA8","ENSMUSG00000029070","ENSG00000162576"
"Myadm","MYADM","ENSMUSG00000068566","ENSG00000179820"
"Myadml2","MYADML2","ENSMUSG00000025141","ENSG00000185105"
"Myf5","MYF5","ENSMUSG00000000435","ENSG00000111049"
"Myf6","MYF6","ENSMUSG00000035923","ENSG00000111046"
"Myl1","MYL1","ENSMUSG00000061816","ENSG00000168530"
"Mylpf","MYL11","ENSMUSG00000030672","ENSG00000180209"
"Myo16","MYO16","ENSMUSG00000039057","ENSG00000041515"
"Myo1d","MYO1D","ENSMUSG00000035441","ENSG00000176658"
"Myo1e","MYO1E","ENSMUSG00000032220","ENSG00000157483"
"Myo1f","MYO1F","ENSMUSG00000024300","ENSG00000142347"
"Myo5c","MYO5C","ENSMUSG00000033590","ENSG00000128833"
"Myo9b","MYO9B","ENSMUSG00000004677","ENSG00000099331"
"Myof","MYOF","ENSMUSG00000048612","ENSG00000138119"
"Myom3","MYOM3","ENSMUSG00000037139","ENSG00000142661"
"Myot","MYOT","ENSMUSG00000024471","ENSG00000120729"
"Myoz1","MYOZ1","ENSMUSG00000068697","ENSG00000177791"
"Naaladl2","NAALADL2","ENSMUSG00000102758","ENSG00000177694"
"Naglu","NAGLU","ENSMUSG00000001751","ENSG00000108784"
"Nap1l5","NAP1L5","ENSMUSG00000055430","ENSG00000177432"
"Nat8l","NAT8L","ENSMUSG00000048142","ENSG00000185818"
"Nbl1","NBL1","ENSMUSG00000041120","ENSG00000158747"
"Ncapg","NCAPG","ENSMUSG00000015880","ENSG00000109805"
"Nckap5l","NCKAP5L","ENSMUSG00000023009","ENSG00000167566"
"Ndc80","NDC80","ENSMUSG00000024056","ENSG00000080986"
"Ndnf","NDNF","ENSMUSG00000049001","ENSG00000173376"
"Ndrg4","NDRG4","ENSMUSG00000036564","ENSG00000103034"
"Ndst3","NDST3","ENSMUSG00000027977","ENSG00000164100"
"Ndufa12","NDUFA12","ENSMUSG00000020022","ENSG00000184752"
