"input_number","input","input_ensg","ensg_number","ortholog_name","ortholog_ensg","description"
332,"Atp6v0d2","ENSMUSG00000028238","332.1.1","ATP6V0D2","ENSG00000147614","ATPase H+ transporting V0 subunit d2 [Source:HGNC Symbol;Acc:HGNC:18266]"
333,"Enpp6","ENSMUSG00000038173","333.1.1","ENPP6","ENSG00000164303","ectonucleotide pyrophosphatase/phosphodiesterase 6 [Source:HGNC Symbol;Acc:HGNC:23409]"
334,"Pdgfra","ENSMUSG00000029231","334.1.1","PDGFRA","ENSG00000134853","platelet derived growth factor receptor alpha [Source:HGNC Symbol;Acc:HGNC:8803]"
335,"Avpr1a","ENSMUSG00000020123","335.1.1","AVPR1A","ENSG00000166148","arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]"
336,"Colec12","ENSMUSG00000036103","336.1.1","COLEC12","ENSG00000158270","collectin subfamily member 12 [Source:HGNC Symbol;Acc:HGNC:16016]"
337,"Sox9","ENSMUSG00000000567","337.1.1","SOX9","ENSG00000125398","SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]"
338,"Cd80","ENSMUSG00000075122","338.1.1","CD80","ENSG00000121594","CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]"
339,"Gpt2","ENSMUSG00000031700","339.1.1","GPT2","ENSG00000166123","glutamic--pyruvic transaminase 2 [Source:HGNC Symbol;Acc:HGNC:18062]"
340,"Clec4n","ENSMUSG00000023349","340.1.1","CLEC6A","ENSG00000205846","C-type lectin domain containing 6A [Source:HGNC Symbol;Acc:HGNC:14556]"
341,"Ccdc112","ENSMUSG00000071855","341.1.1","CCDC112","ENSG00000164221","coiled-coil domain containing 112 [Source:HGNC Symbol;Acc:HGNC:28599]"
342,"Troap","ENSMUSG00000032783","342.1.1","TROAP","ENSG00000135451","trophinin associated protein [Source:HGNC Symbol;Acc:HGNC:12327]"
343,"Ect2","ENSMUSG00000027699","343.1.1","ECT2","ENSG00000114346","epithelial cell transforming 2 [Source:HGNC Symbol;Acc:HGNC:3155]"
344,"Wnt16","ENSMUSG00000029671","344.1.1","WNT16","ENSG00000002745","Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]"
345,"Gpr153","ENSMUSG00000042804","345.1.1","GPR153","ENSG00000158292","G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618]"
346,"Gpsm2","ENSMUSG00000027883","346.1.1","GPSM2","ENSG00000121957","G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29501]"
347,"Igfals","ENSMUSG00000046070","347.1.1","IGFALS","ENSG00000099769","insulin like growth factor binding protein acid labile subunit [Source:HGNC Symbol;Acc:HGNC:5468]"
348,"Crocc2","ENSMUSG00000084989","348.1.1","CROCC2","ENSG00000226321","ciliary rootlet coiled-coil, rootletin family member 2 [Source:HGNC Symbol;Acc:HGNC:51677]"
349,"Efemp2","ENSMUSG00000024909","349.1.1","EFEMP2","ENSG00000172638","EGF containing fibulin extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219]"
350,"Myadml2","ENSMUSG00000025141","350.1.1","MYADML2","ENSG00000185105","myeloid associated differentiation marker like 2 [Source:HGNC Symbol;Acc:HGNC:34548]"
351,"Ttk","ENSMUSG00000038379","351.1.1","TTK","ENSG00000112742","TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]"
352,"Itgb3","ENSMUSG00000020689","352.1.1","ITGB3","ENSG00000259207","integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]"
353,"Sdk2","ENSMUSG00000041592","353.1.1","SDK2","ENSG00000069188","sidekick cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:19308]"
354,"Cxcl13","ENSMUSG00000023078","354.1.1","CXCL13","ENSG00000156234","C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]"
355,"Zfp879","ENSMUSG00000044296","355.1.1","ZNF879","ENSG00000234284","zinc finger protein 879 [Source:HGNC Symbol;Acc:HGNC:37273]"
356,"Clip3","ENSMUSG00000013921","356.1.1","CLIP3","ENSG00000105270","CAP-Gly domain containing linker protein 3 [Source:HGNC Symbol;Acc:HGNC:24314]"
357,"Soat1","ENSMUSG00000026600","357.1.1","SOAT1","ENSG00000057252","sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]"
358,"Calhm2","ENSMUSG00000033033","358.1.1","CALHM2","ENSG00000138172","calcium homeostasis modulator family member 2 [Source:HGNC Symbol;Acc:HGNC:23493]"
359,"Fzd8","ENSMUSG00000036904","359.1.1","FZD8","ENSG00000177283","frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]"
360,"Runx1","ENSMUSG00000022952","360.1.1","RUNX1","ENSG00000159216","RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]"
361,"Adam19","ENSMUSG00000011256","361.1.1","N/A","N/A","N/A"
362,"Dmkn","ENSMUSG00000060962","362.1.1","DMKN","ENSG00000161249","dermokine [Source:HGNC Symbol;Acc:HGNC:25063]"
363,"Gm46306","N/A","363.1.1","N/A","N/A","N/A"
364,"Slc2a6","ENSMUSG00000036067","364.1.1","SLC2A6","ENSG00000160326","solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011]"
365,"Lpar1","ENSMUSG00000038668","365.1.1","LPAR1","ENSG00000198121","lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166]"
366,"Colec10","ENSMUSG00000038591","366.1.1","COLEC10","ENSG00000184374","collectin subfamily member 10 [Source:HGNC Symbol;Acc:HGNC:2220]"
367,"Nmnat2","ENSMUSG00000042751","367.1.1","NMNAT2","ENSG00000157064","nicotinamide nucleotide adenylyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16789]"
368,"Lrrc8e","ENSMUSG00000046589","368.1.1","LRRC8E","ENSG00000171017","leucine rich repeat containing 8 VRAC subunit E [Source:HGNC Symbol;Acc:HGNC:26272]"
369,"En2","ENSMUSG00000039095","369.1.1","EN2","ENSG00000164778","engrailed homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3343]"
370,"St8sia5","ENSMUSG00000025425","370.1.1","ST8SIA5","ENSG00000101638","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:17827]"
371,"Myo9b","ENSMUSG00000004677","371.1.1","MYO9B","ENSG00000099331","myosin IXB [Source:HGNC Symbol;Acc:HGNC:7609]"
372,"AW551984","ENSMUSG00000038112","372.1.1","VWA5A","ENSG00000110002","von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]"
373,"Pgm2","ENSMUSG00000029171","373.1.1","PGM2","ENSG00000169299","phosphoglucomutase 2 [Source:HGNC Symbol;Acc:HGNC:8906]"
374,"Mcub","ENSMUSG00000027994","374.1.1","MCUB","ENSG00000005059","mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]"
375,"Ppic","ENSMUSG00000024538","375.1.1","PPIC","ENSG00000168938","peptidylprolyl isomerase C [Source:HGNC Symbol;Acc:HGNC:9256]"
376,"Acss3","ENSMUSG00000035948","376.1.1","ACSS3","ENSG00000111058","acyl-CoA synthetase short chain family member 3 [Source:HGNC Symbol;Acc:HGNC:24723]"
377,"Qsox1","ENSMUSG00000033684","377.1.1","QSOX1","ENSG00000116260","quiescin sulfhydryl oxidase 1 [Source:HGNC Symbol;Acc:HGNC:9756]"
378,"Prg4","ENSMUSG00000006014","378.1.1","PRG4","ENSG00000116690","proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:9364]"
379,"Zfp612","ENSMUSG00000044676","379.1.1","ZNF23","ENSG00000167377","zinc finger protein 23 [Source:HGNC Symbol;Acc:HGNC:13023]"
380,"Tfec","ENSMUSG00000029553","380.1.1","TFEC","ENSG00000105967","transcription factor EC [Source:HGNC Symbol;Acc:HGNC:11754]"
381,"Fam171b","ENSMUSG00000048388","381.1.1","FAM171B","ENSG00000144369","family with sequence similarity 171 member B [Source:HGNC Symbol;Acc:HGNC:29412]"
382,"Racgap1","ENSMUSG00000023015","382.1.1","RACGAP1","ENSG00000161800","Rac GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9804]"
383,"B4galt2","ENSMUSG00000028541","383.1.1","B4GALT2","ENSG00000117411","beta-1,4-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:925]"
384,"Meis3","ENSMUSG00000041420","384.1.1","MEIS3","ENSG00000105419","Meis homeobox 3 [Source:HGNC Symbol;Acc:HGNC:29537]"
384,"Meis3","ENSMUSG00000041420","384.1.2","MEIS3P2","ENSG00000188013","Meis homeobox 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:17638]"
385,"Mmp16","ENSMUSG00000028226","385.1.1","MMP16","ENSG00000156103","matrix metallopeptidase 16 [Source:HGNC Symbol;Acc:HGNC:7162]"
386,"Ext1","ENSMUSG00000061731","386.1.1","EXT1","ENSG00000182197","exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]"
387,"Lair1","ENSMUSG00000055541","387.1.1","LAIR1","ENSG00000167613","leukocyte associated immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:6477]"
388,"F7","ENSMUSG00000031443","388.1.1","F7","ENSG00000057593","coagulation factor VII [Source:HGNC Symbol;Acc:HGNC:3544]"
389,"Cdkn2a","ENSMUSG00000044303","389.1.1","CDKN2A","ENSG00000147889","cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]"
390,"Lgals3","ENSMUSG00000050335","390.1.1","LGALS3","ENSG00000131981","galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]"
391,"Pde4d","ENSMUSG00000021699","391.1.1","PDE4D","ENSG00000113448","phosphodiesterase 4D [Source:HGNC Symbol;Acc:HGNC:8783]"
392,"Zfp996","ENSMUSG00000113402","392.1.1","N/A","N/A","N/A"
392,"Zfp996","ENSMUSG00000125757","392.2.1","N/A","N/A","N/A"
393,"Adgre1","ENSMUSG00000004730","393.1.1","ADGRE1","ENSG00000174837","adhesion G protein-coupled receptor E1 [Source:HGNC Symbol;Acc:HGNC:3336]"
394,"Myof","ENSMUSG00000048612","394.1.1","MYOF","ENSG00000138119","myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]"
395,"Fmnl3","ENSMUSG00000023008","395.1.1","FMNL3","ENSG00000161791","formin like 3 [Source:HGNC Symbol;Acc:HGNC:23698]"
396,"Man1c1","ENSMUSG00000037306","396.1.1","MAN1C1","ENSG00000117643","mannosidase alpha class 1C member 1 [Source:HGNC Symbol;Acc:HGNC:19080]"
397,"Adra2a","ENSMUSG00000033717","397.1.1","ADRA2A","ENSG00000150594","adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]"
398,"Myot","ENSMUSG00000024471","398.1.1","MYOT","ENSG00000120729","myotilin [Source:HGNC Symbol;Acc:HGNC:12399]"
399,"Pdpn","ENSMUSG00000028583","399.1.1","PDPN","ENSG00000162493","podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]"
400,"Gsta3","ENSMUSG00000025934","400.1.1","GSTA5","ENSG00000182793","glutathione S-transferase alpha 5 [Source:HGNC Symbol;Acc:HGNC:19662]"
401,"Glb1l2","ENSMUSG00000036395","401.1.1","GLB1L2","ENSG00000149328","galactosidase beta 1 like 2 [Source:HGNC Symbol;Acc:HGNC:25129]"
402,"Slfn10","N/A","402.1.1","N/A","N/A","N/A"
403,"Ddit4l","ENSMUSG00000046818","403.1.1","DDIT4L","ENSG00000145358","DNA damage inducible transcript 4 like [Source:HGNC Symbol;Acc:HGNC:30555]"
404,"Plin1","ENSMUSG00000030546","404.1.1","PLIN1","ENSG00000166819","perilipin 1 [Source:HGNC Symbol;Acc:HGNC:9076]"
405,"Gpt","ENSMUSG00000022546","405.1.1","GPT","ENSG00000167701","glutamic--pyruvic transaminase [Source:HGNC Symbol;Acc:HGNC:4552]"
406,"Fbxl13","ENSMUSG00000048520","406.1.1","FBXL13","ENSG00000161040","F-box and leucine rich repeat protein 13 [Source:HGNC Symbol;Acc:HGNC:21658]"
407,"Dact3","ENSMUSG00000078794","407.1.1","DACT3","ENSG00000197380","dishevelled binding antagonist of beta catenin 3 [Source:HGNC Symbol;Acc:HGNC:30745]"
408,"Gm6958","N/A","408.1.1","N/A","N/A","N/A"
409,"Pcx","ENSMUSG00000024892","409.1.1","PC","ENSG00000173599","pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]"
410,"Lilrb4a","ENSMUSG00000062593","410.1.1","N/A","N/A","N/A"
410,"Lilrb4a","ENSMUSG00000112148","410.2.1","N/A","N/A","N/A"
411,"Gli3","ENSMUSG00000021318","411.1.1","GLI3","ENSG00000106571","GLI family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:4319]"
412,"Trim55","ENSMUSG00000060913","412.1.1","TRIM55","ENSG00000147573","tripartite motif containing 55 [Source:HGNC Symbol;Acc:HGNC:14215]"
413,"Ppp1r3a","ENSMUSG00000042717","413.1.1","PPP1R3A","ENSG00000154415","protein phosphatase 1 regulatory subunit 3A [Source:HGNC Symbol;Acc:HGNC:9291]"
414,"Tmem254","ENSMUSG00000072676","414.1.1","TMEM254","ENSG00000133678","transmembrane protein 254 [Source:HGNC Symbol;Acc:HGNC:25804]"
415,"Il1rn","ENSMUSG00000026981","415.1.1","IL1RN","ENSG00000136689","interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]"
416,"Clec11a","ENSMUSG00000004473","416.1.1","CLEC11A","ENSG00000105472","C-type lectin domain containing 11A [Source:HGNC Symbol;Acc:HGNC:10576]"
417,"Chia1","ENSMUSG00000062778","417.1.1","CHIA","ENSG00000134216","chitinase acidic [Source:HGNC Symbol;Acc:HGNC:17432]"
418,"Cyp1a1","ENSMUSG00000032315","418.1.1","CYP1A1","ENSG00000140465","cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]"
419,"Fap","ENSMUSG00000000392","419.1.1","FAP","ENSG00000078098","fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]"
420,"Vash1","ENSMUSG00000021256","420.1.1","VASH1","ENSG00000071246","vasohibin 1 [Source:HGNC Symbol;Acc:HGNC:19964]"
421,"Nat8l","ENSMUSG00000048142","421.1.1","NAT8L","ENSG00000185818","N-acetyltransferase 8 like [Source:HGNC Symbol;Acc:HGNC:26742]"
422,"Pkia","ENSMUSG00000027499","422.1.1","PKIA","ENSG00000171033","cAMP-dependent protein kinase inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:9017]"
423,"Gng4","ENSMUSG00000021303","423.1.1","GNG4","ENSG00000168243","G protein subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:4407]"
424,"Lin28a","ENSMUSG00000050966","424.1.1","LIN28A","ENSG00000131914","lin-28 homolog A [Source:HGNC Symbol;Acc:HGNC:15986]"
425,"Cd4","ENSMUSG00000023274","425.1.1","CD4","ENSG00000010610","CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]"
426,"Scara3","ENSMUSG00000034463","426.1.1","SCARA3","ENSG00000168077","scavenger receptor class A member 3 [Source:HGNC Symbol;Acc:HGNC:19000]"
427,"Podnl1","ENSMUSG00000012889","427.1.1","PODNL1","ENSG00000132000","podocan like 1 [Source:HGNC Symbol;Acc:HGNC:26275]"
428,"Lrfn4","ENSMUSG00000045045","428.1.1","LRFN4","ENSG00000173621","leucine rich repeat and fibronectin type III domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28456]"
429,"Col12a1","ENSMUSG00000032332","429.1.1","COL12A1","ENSG00000111799","collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]"
430,"Pira2","ENSMUSG00000089942","430.1.1","LILRB1","ENSG00000104972","leukocyte immunoglobulin like receptor B1 [Source:HGNC Symbol;Acc:HGNC:6605]"
430,"Pira2","ENSMUSG00000089942","430.1.2","LILRA1","ENSG00000104974","leukocyte immunoglobulin like receptor A1 [Source:HGNC Symbol;Acc:HGNC:6602]"
430,"Pira2","ENSMUSG00000089942","430.1.3","LILRB5","ENSG00000105609","leukocyte immunoglobulin like receptor B5 [Source:HGNC Symbol;Acc:HGNC:6609]"
430,"Pira2","ENSMUSG00000089942","430.1.4","LILRB2","ENSG00000131042","leukocyte immunoglobulin like receptor B2 [Source:HGNC Symbol;Acc:HGNC:6606]"
430,"Pira2","ENSMUSG00000089942","430.1.5","LILRA5","ENSG00000187116","leukocyte immunoglobulin like receptor A5 [Source:HGNC Symbol;Acc:HGNC:16309]"
430,"Pira2","ENSMUSG00000089942","430.1.6","LILRB3","ENSG00000204577","leukocyte immunoglobulin like receptor B3 [Source:HGNC Symbol;Acc:HGNC:6607]"
430,"Pira2","ENSMUSG00000089942","430.1.7","LILRA4","ENSG00000239961","leukocyte immunoglobulin like receptor A4 [Source:HGNC Symbol;Acc:HGNC:15503]"
430,"Pira2","ENSMUSG00000089942","430.1.8","LILRA2","ENSG00000239998","leukocyte immunoglobulin like receptor A2 [Source:HGNC Symbol;Acc:HGNC:6603]"
430,"Pira2","ENSMUSG00000089942","430.1.9","LILRA6","ENSG00000244482","leukocyte immunoglobulin like receptor A6 [Source:HGNC Symbol;Acc:HGNC:15495]"
431,"Homer3","ENSMUSG00000003573","431.1.1","HOMER3","ENSG00000051128","homer scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:17514]"
432,"Ccbe1","ENSMUSG00000046318","432.1.1","CCBE1","ENSG00000183287","collagen and calcium binding EGF domains 1 [Source:HGNC Symbol;Acc:HGNC:29426]"
433,"Cxcr4","ENSMUSG00000045382","433.1.1","CXCR4","ENSG00000121966","C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]"
434,"Ndnf","ENSMUSG00000049001","434.1.1","NDNF","ENSG00000173376","neuron derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:26256]"
435,"Gpm6b","ENSMUSG00000031342","435.1.1","GPM6B","ENSG00000046653","glycoprotein M6B [Source:HGNC Symbol;Acc:HGNC:4461]"
436,"Adamts17","ENSMUSG00000058145","436.1.1","ADAMTS17","ENSG00000140470","ADAM metallopeptidase with thrombospondin type 1 motif 17 [Source:HGNC Symbol;Acc:HGNC:17109]"
437,"Aldh1a7","ENSMUSG00000024747","437.1.1","ALDH1A1","ENSG00000165092","aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]"
438,"Crhr2","ENSMUSG00000003476","438.1.1","CRHR2","ENSG00000106113","corticotropin releasing hormone receptor 2 [Source:HGNC Symbol;Acc:HGNC:2358]"
439,"Serpina3c","ENSMUSG00000066361","439.1.1","SERPINA3","ENSG00000196136","serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]"
440,"Pdzd4","ENSMUSG00000002006","440.1.1","PDZD4","ENSG00000067840","PDZ domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21167]"
441,"Sapcd2","ENSMUSG00000026955","441.1.1","SAPCD2","ENSG00000186193","suppressor APC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28055]"
442,"Snhg11","ENSMUSG00000044349","442.1.1","N/A","N/A","N/A"
443,"Socs1","ENSMUSG00000038037","443.1.1","SOCS1","ENSG00000185338","suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]"
444,"Itprip","ENSMUSG00000117975","444.1.1","ITPRIP","ENSG00000148841","inositol 1,4,5-trisphosphate receptor interacting protein [Source:HGNC Symbol;Acc:HGNC:29370]"
445,"Necab1","ENSMUSG00000040536","445.1.1","NECAB1","ENSG00000123119","N-terminal EF-hand calcium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:20983]"
446,"Slc16a4","ENSMUSG00000027896","446.1.1","SLC16A4","ENSG00000168679","solute carrier family 16 member 4 [Source:HGNC Symbol;Acc:HGNC:10925]"
447,"Elfn1","ENSMUSG00000048988","447.1.1","ELFN1","ENSG00000225968","extracellular leucine rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33154]"
448,"Ccng1","ENSMUSG00000020326","448.1.1","CCNG1","ENSG00000113328","cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]"
449,"Ms4a14","ENSMUSG00000099398","449.1.1","MS4A14","ENSG00000166928","membrane spanning 4-domains A14 [Source:HGNC Symbol;Acc:HGNC:30706]"
450,"Medag","ENSMUSG00000029659","450.1.1","MEDAG","ENSG00000102802","mesenteric estrogen dependent adipogenesis [Source:HGNC Symbol;Acc:HGNC:25926]"
451,"Dgat2l6","ENSMUSG00000067597","451.1.1","DGAT2L6","ENSG00000184210","diacylglycerol O-acyltransferase 2 like 6 [Source:HGNC Symbol;Acc:HGNC:23250]"
452,"Efna2","ENSMUSG00000003070","452.1.1","EFNA2","ENSG00000099617","ephrin A2 [Source:HGNC Symbol;Acc:HGNC:3222]"
453,"Gpr173","ENSMUSG00000056679","453.1.1","GPR173","ENSG00000184194","G protein-coupled receptor 173 [Source:HGNC Symbol;Acc:HGNC:18186]"
454,"Plekhb1","ENSMUSG00000030701","454.1.1","PLEKHB1","ENSG00000021300","pleckstrin homology domain containing B1 [Source:HGNC Symbol;Acc:HGNC:19079]"
455,"Lmod3","ENSMUSG00000044086","455.1.1","LMOD3","ENSG00000163380","leiomodin 3 [Source:HGNC Symbol;Acc:HGNC:6649]"
456,"Rasl2-9","ENSMUSG00000083649","456.1.1","N/A","N/A","N/A"
457,"Rprm","ENSMUSG00000075334","457.1.1","RPRM","ENSG00000177519","reprimo, TP53 dependent G2 arrest mediator homolog [Source:HGNC Symbol;Acc:HGNC:24201]"
458,"Gja1","ENSMUSG00000050953","458.1.1","N/A","N/A","N/A"
459,"Klb","ENSMUSG00000029195","459.1.1","KLB","ENSG00000134962","klotho beta [Source:HGNC Symbol;Acc:HGNC:15527]"
460,"Il7r","ENSMUSG00000003882","460.1.1","IL7R","ENSG00000168685","interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]"
461,"Ccn5","ENSMUSG00000027656","461.1.1","CCN5","ENSG00000064205","cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]"
462,"Acan","ENSMUSG00000030607","462.1.1","ACAN","ENSG00000157766","aggrecan [Source:HGNC Symbol;Acc:HGNC:319]"
463,"Mmp17","ENSMUSG00000029436","463.1.1","MMP17","ENSG00000198598","matrix metallopeptidase 17 [Source:HGNC Symbol;Acc:HGNC:7163]"
464,"Clba1","ENSMUSG00000037594","464.1.1","CLBA1","ENSG00000140104","clathrin binding box of aftiphilin containing 1 [Source:HGNC Symbol;Acc:HGNC:20126]"
465,"Slc44a3","ENSMUSG00000039865","465.1.1","SLC44A3","ENSG00000143036","solute carrier family 44 member 3 [Source:HGNC Symbol;Acc:HGNC:28689]"
466,"Sh3gl1","ENSMUSG00000003200","466.1.1","SH3GL1","ENSG00000141985","SH3 domain containing GRB2 like 1, endophilin A2 [Source:HGNC Symbol;Acc:HGNC:10830]"
467,"Ecrg4","ENSMUSG00000026051","467.1.1","ECRG4","ENSG00000119147","ECRG4 augurin precursor [Source:HGNC Symbol;Acc:HGNC:24642]"
468,"Rin2","ENSMUSG00000001768","468.1.1","RIN2","ENSG00000132669","Ras and Rab interactor 2 [Source:HGNC Symbol;Acc:HGNC:18750]"
469,"Prph","ENSMUSG00000023484","469.1.1","PRPH","ENSG00000135406","peripherin [Source:HGNC Symbol;Acc:HGNC:9461]"
470,"Nat8f7","ENSMUSG00000089694","470.1.1","NAT8","ENSG00000144035","N-acetyltransferase 8 (putative) [Source:HGNC Symbol;Acc:HGNC:18069]"
470,"Nat8f7","ENSMUSG00000089694","470.1.2","NAT8B","ENSG00000204872","N-acetyltransferase 8B (putative, gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:30235]"
471,"Opn3","ENSMUSG00000026525","471.1.1","OPN3","ENSG00000054277","opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]"
472,"Elovl7","ENSMUSG00000021696","472.1.1","ELOVL7","ENSG00000164181","ELOVL fatty acid elongase 7 [Source:HGNC Symbol;Acc:HGNC:26292]"
473,"Bgn","ENSMUSG00000031375","473.1.1","BGN","ENSG00000182492","biglycan [Source:HGNC Symbol;Acc:HGNC:1044]"
474,"Hsd11b1","ENSMUSG00000016194","474.1.1","HSD11B1","ENSG00000117594","hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208]"
475,"Fzd6","ENSMUSG00000022297","475.1.1","FZD6","ENSG00000164930","frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]"
476,"Rxrg","ENSMUSG00000015843","476.1.1","RXRG","ENSG00000143171","retinoid X receptor gamma [Source:HGNC Symbol;Acc:HGNC:10479]"
477,"Adipoq","ENSMUSG00000022878","477.1.1","ADIPOQ","ENSG00000181092","adiponectin, C1Q and collagen domain containing [Source:HGNC Symbol;Acc:HGNC:13633]"
478,"Hapln4","ENSMUSG00000007594","478.1.1","HAPLN4","ENSG00000187664","hyaluronan and proteoglycan link protein 4 [Source:HGNC Symbol;Acc:HGNC:31357]"
479,"Cxcl16","ENSMUSG00000018920","479.1.1","CXCL16","ENSG00000161921","C-X-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]"
480,"Clstn3","ENSMUSG00000008153","480.1.1","CLSTN3","ENSG00000139182","calsyntenin 3 [Source:HGNC Symbol;Acc:HGNC:18371]"
481,"Far2","ENSMUSG00000030303","481.1.1","FAR2","ENSG00000064763","fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]"
482,"Epha3","ENSMUSG00000052504","482.1.1","EPHA3","ENSG00000044524","EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]"
483,"Ezr","ENSMUSG00000052397","483.1.1","EZR","ENSG00000092820","ezrin [Source:HGNC Symbol;Acc:HGNC:12691]"
484,"Apol6","ENSMUSG00000033576","484.1.1","APOL6","ENSG00000221963","apolipoprotein L6 [Source:HGNC Symbol;Acc:HGNC:14870]"
485,"Steap1","ENSMUSG00000015652","485.1.1","STEAP1B","ENSG00000105889","STEAP family member 1B [Source:HGNC Symbol;Acc:HGNC:41907]"
485,"Steap1","ENSMUSG00000015652","485.1.2","STEAP1","ENSG00000164647","STEAP family member 1 [Source:HGNC Symbol;Acc:HGNC:11378]"
486,"Bicc1","ENSMUSG00000014329","486.1.1","BICC1","ENSG00000122870","BicC family RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19351]"
487,"Il4ra","ENSMUSG00000030748","487.1.1","IL4R","ENSG00000077238","interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]"
488,"Gas1","ENSMUSG00000052957","488.1.1","GAS1","ENSG00000180447","growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]"
489,"Fabp4","ENSMUSG00000062515","489.1.1","FABP4","ENSG00000170323","fatty acid binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3559]"
490,"Gm40011","ENSMUSG00000087382","490.1.1","N/A","N/A","N/A"
491,"Layn","ENSMUSG00000060594","491.1.1","LAYN","ENSG00000204381","layilin [Source:HGNC Symbol;Acc:HGNC:29471]"
492,"Mup2","ENSMUSG00000078688","492.1.1","N/A","N/A","N/A"
493,"Mmp12","ENSMUSG00000049723","493.1.1","MMP12","ENSG00000262406","matrix metallopeptidase 12 [Source:HGNC Symbol;Acc:HGNC:7158]"
494,"C1qtnf6","ENSMUSG00000022440","494.1.1","C1QTNF6","ENSG00000133466","C1q and TNF related 6 [Source:HGNC Symbol;Acc:HGNC:14343]"
